machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
ruby,cosmoflow,0.0333,94571428.57,132553571.4,14571428.57,332696428.6,0.0,0.0,0.0,0.0,3195.375,8007922.063,807939.8036,938.7321429,19688.71429,2535714.286,0.512647884
ruby,cosmoflow,0.0666,103555555.6,297851851.9,106407407.4,833851851.9,2629629.63,2555555.556,0.0,0.0,137381.537,254548112.1,30070596.31,48701.11111,1053497.593,30000000.0,0.306739704
ruby,cosmoflow,0.0166,157553571.4,220571428.6,23375000.0,552625000.0,17857.14286,0.0,0.0,0.0,5033.473214,12926306.82,1164719.911,938.7232143,19688.72321,8357142.857,0.322462143
ruby,cosmoflow,0.0833,152407407.4,458777777.8,165185185.2,1278777778.0,4185185.185,4333333.333,0.0,0.0,215192.7963,403410092.4,47284454.7,52591.66667,1053633.037,52037037.04,0.459772315
ruby,cosmoflow,0.0166,136375000.0,194303571.4,21410714.29,487303571.4,0.0,0.0,0.0,0.0,6375.348214,15044255.63,1621694.545,938.7232143,19688.71429,9160714.286,0.418160723
ruby,cosmoflow,0.0666,326962963.0,793185185.2,289518518.5,2273444444.0,8777777.778,7148148.148,0.0,0.0,318975.0,599626039.2,69081650.0,48714.05556,1053498.074,75888888.89,0.753966593
ruby,cosmoflow,0.0333,167892857.1,240321428.6,27357142.86,603125000.0,0.0,17857.14286,0.0,0.0,9254.607143,22440743.5,2357476.616,938.7232143,19688.71429,14803571.43,0.381725821
ruby,cosmoflow,0.0833,446592592.6,1102444444.0,404148148.1,3162666667.0,14888888.89,9962962.963,0.0,111111.1111,447817.3148,847788831.5,99479836.35,52605.16667,1053633.537,114888888.9,1.104852019
ruby,cosmoflow,0.0333,231410714.3,331928571.4,37232142.86,832839285.7,17857.14286,17857.14286,0.0,0.0,12119.57143,25738670.72,3115926.536,938.7232143,19688.71429,13500000.0,0.648485
ruby,cosmoflow,0.1,614777777.8,1510888889.0,555888888.9,4340333333.0,16888888.89,13925925.93,592592.5926,814814.8148,616378.3333,1168761221.0,135867910.8,52605.64815,1053633.556,160259259.3,1.461733167
ruby,cosmoflow,0.0333,215053571.4,314250000.0,36750000.0,789196428.6,17857.14286,0.0,0.0,0.0,15878.625,34542915.93,4128557.384,938.7232143,19688.71429,17535714.29,0.675805321
ruby,cosmoflow,0.1,825148148.1,2024074074.0,752777777.8,5834444444.0,27851851.85,18074074.07,2000000.0,1000000.0,813023.1111,1545476583.0,182222517.7,50659.38889,1053565.796,223259259.3,1.940369759
ruby,cosmoflow,0.0333,285607142.9,416857142.9,48982142.86,1046875000.0,17857.14286,35714.28571,0.0,0.0,20451.53571,40823760.98,5053756.857,938.7232143,19688.71429,33017857.14,0.712174384
ruby,cosmoflow,0.1166,1013851852.0,2558814815.0,932333333.3,7306666667.0,33592592.59,26370370.37,3148148.148,1740740.741,1052989.704,2007077220.0,231246426.6,48714.05556,1053498.074,306407407.4,2.516354
