machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
ruby,deepcam,0.2333,3753125000.0,5722982143.0,743607142.9,14413857143.0,23714285.71,14000000.0,1732142.857,178571.4286,447842.9911,923562974.6,112409884.5,938.7232143,19688.72321,675821428.6,11.31676436
ruby,deepcam,1.3333,26560222222.0,64855407407.0,23312888889.0,182854000000.0,920111111.1,619814814.8,117814814.8,67222222.22,24390362.26,46423496121.0,8377999334.0,52605.64815,1053633.556,7695555556.0,72.93914163
ruby,deepcam,0.2333,3895142857.0,5948785714.0,776750000.0,14988196429.0,24714285.71,14232142.86,1803571.429,196428.5714,475332.0268,985671100.3,116074916.5,938.7232143,19688.71429,785000000.0,11.67315203
ruby,deepcam,1.4,27875814815.0,68563481481.0,24705259259.0,193254000000.0,961962963.0,656222222.2,118925925.9,71666666.67,25882447.19,49246459599.0,8777393741.0,50659.40741,1053565.796,8406370370.0,77.22357048
ruby,deepcam,0.25,3953250000.0,6068625000.0,799982142.9,15291107143.0,26375000.0,16071428.57,1821428.571,214285.7143,503566.2679,1036285270.0,124630133.8,938.7232143,19688.72321,772767857.1,12.43893191
ruby,deepcam,1.4833,29397703704.0,72401185185.0,26206814815.0,204249000000.0,1033185185.0,693814814.8,130555555.6,74259259.26,27435315.35,52186947109.0,9363909085.0,52605.16667,1053633.537,8970111111.0,82.61765057
ruby,deepcam,0.2333,4070446429.0,6264964286.0,831839285.7,15793321429.0,28107142.86,16214285.71,1892857.143,339285.7143,533252.7679,1077474857.0,130090709.3,938.7321429,19688.71429,813017857.1,13.30941722
ruby,deepcam,1.5666,31144185185.0,76613555556.0,27822962963.0,216348000000.0,1089370370.0,736777777.8,140222222.2,80555555.56,29046672.22,55241326024.0,9898084435.0,50646.38889,1053565.315,9554037037.0,87.84231293
ruby,deepcam,0.2833,4887321429.0,7422017857.0,953267857.1,18692982143.0,37089285.71,18053571.43,1946428.571,303571.4286,563871.6161,1126975207.0,137064967.6,938.7232143,19688.71429,875964285.7,13.87397906
ruby,deepcam,1.65,30900518519.0,78395148148.0,28183888889.0,220060000000.0,1550222222.0,776592592.6,145814814.8,84296296.3,30721870.06,58431366662.0,10648428838.0,50658.90741,1053565.778,10208703704.0,93.11408613
ruby,deepcam,0.2833,4914517857.0,7502267857.0,975035714.3,18899017857.0,32553571.43,18071428.57,1892857.143,785714.2857,595454.3393,1184822412.0,149555324.0,938.7232143,19688.71429,1030482143.0,14.75005614
ruby,deepcam,1.7666,35375074074.0,86306666667.0,31607148148.0,244650000000.0,1231185185.0,816740740.7,149074074.1,88481481.48,32254801.48,61332182865.0,11318773754.0,50659.38889,1053565.796,11036185185.0,100.2747772
ruby,deepcam,0.2833,4767964286.0,7341982143.0,975000000.0,18508035714.0,34142857.14,19660714.29,1982142.857,732142.8571,628542.2589,1251816772.0,152597602.1,938.7232143,19688.71429,1063571429.0,14.29288715
ruby,deepcam,1.8833,36287851852.0,89537444444.0,33005851852.0,253861000000.0,1322777778.0,873185185.2,163888888.9,93111111.11,34262917.11,65150691607.0,11883822291.0,50658.90741,1053565.778,11953074074.0,105.0557494
ruby,deepcam,0.3166,5369589286.0,8209750000.0,1072732143.0,20681464286.0,34553571.43,20321428.57,1946428.571,2017857.143,662868.0536,1314172347.0,160487397.9,938.7232143,19688.72321,1121982143.0,15.55014221
ruby,deepcam,1.9833,36392592593.0,92343629630.0,33789518519.0,260443000000.0,1352888889.0,913407407.4,172148148.1,99592592.59,36131093.72,68704443252.0,12735604475.0,50672.38889,1053566.278,12553629630.0,111.3962348
ruby,deepcam,0.3166,5212178571.0,8041303571.0,1072071429.0,20272232143.0,36196428.57,21892857.14,2017857.143,1928571.429,698342.8036,1389291579.0,173340694.4,938.7232143,19688.72321,1167535714.0,15.61298032
ruby,deepcam,2.1,37801444444.0,96327185185.0,35183481481.0,271434000000.0,1454666667.0,958666666.7,178703703.7,103074074.1,38066403.72,72377962194.0,13414235299.0,50672.38889,1053566.278,13486851852.0,117.7535907
ruby,deepcam,0.35,5893732143.0,9022839286.0,1179892857.0,22730660714.0,38892857.14,22410714.29,2178571.429,2160714.286,734919.5982,1464167056.0,181539986.6,938.7232143,19688.72321,1112642857.0,17.85933847
ruby,deepcam,2.2333,43172296296.0,105539000000.0,39265185185.0,300262000000.0,1492444444.0,1012629630.0,187444444.4,109481481.5,40068912.0,76185817567.0,14135394312.0,52605.16667,1053633.537,14470222222.0,124.4955018
ruby,deepcam,0.3666,5976750000.0,9183607143.0,1212839286.0,23142767857.0,41428571.43,24446428.57,2821428.571,2250000.0,773014.8929,1535392648.0,186043448.8,938.7232143,19688.71429,1387910714.0,17.21241464
ruby,deepcam,2.3666,43495777778.0,108992000000.0,40496037037.0,308863000000.0,1594740741.0,1072666667.0,198444444.4,114074074.1,41874333.43,79600343518.0,14419809561.0,50659.38889,1053565.796,15054481481.0,132.173732
ruby,deepcam,0.1333,2028035714.0,3075910714.0,395785714.3,7747053571.0,12696428.57,6071428.571,17857.14286,89285.71429,229752.4554,489572121.0,56642899.6,938.7232143,19688.71429,333410714.3,6.089985821
ruby,deepcam,0.6166,12858814815.0,32408592593.0,11487629630.0,90693481481.0,510037037.0,316814814.8,57185185.19,34407407.41,12490143.78,23895251840.0,4191031004.0,52605.16667,1053633.537,4225407407.0,31.9829145
