machine,app,args,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
ruby,kripke.exe,--niter 10 --pmethod bj --groups 16 --arch sequential --legendre 0,0.05,4482142.857,29642857.14,7142857.143,63321428.57,1178571.429,785714.2857,35714.28571,35714.28571,6.401785714,16715289.93,13546052.67,938.7232143,19688.72321,1535714.286,0.01194308,,,,2.98805692
ruby,kripke.exe,"--niter 10 --pmethod bj --groups 16 --arch sequential --legendre 0 --procs 4,4,2",0.0666,64625000.0,165812500.0,61812500.0,476937500.0,0.0,2000000.0,0.0,0.0,969.375,60419673.13,48146727.81,105845.6563,2107278.219,19500000.0,0.084635031,,,,3.911364969
ruby,kripke.exe,--niter 10 --pmethod bj --groups 16 --arch sequential --legendre 1,0.05,8125000.0,47660714.29,11482142.86,106875000.0,1196428.571,767857.1429,35714.28571,35714.28571,10.33928571,24634842.96,13646610.15,938.7142857,19688.71429,1571428.571,0.015165902,,,,2.984834098
ruby,kripke.exe,"--niter 10 --pmethod bj --groups 16 --arch sequential --legendre 1 --procs 4,4,2",0.0666,80750000.0,234875000.0,80062500.0,649000000.0,0.0,2000000.0,0.0,0.0,914.3125,88218908.53,46311640.38,105845.6563,2107278.219,17937500.0,0.100082625,,,,3.895917375
ruby,kripke.exe,--niter 10 --pmethod bj --groups 16 --arch sequential --legendre 2,0.0666,13839285.71,77250000.0,18678571.43,178339285.7,1553571.429,767857.1429,35714.28571,35714.28571,7.589285714,37787414.54,13571254.94,938.7321429,19688.72321,1857142.857,0.021106768,,,,3.974893232
ruby,kripke.exe,"--niter 10 --pmethod bj --groups 16 --arch sequential --legendre 2 --procs 4,4,2",0.0833,103812500.0,345437500.0,108062500.0,919000000.0,0.0,2000000.0,0.0,0.0,996.53125,134595129.8,46391406.03,105875.6875,2107279.156,18937500.0,0.124267094,,,,4.873732906
ruby,kripke.exe,--niter 10 --pmethod bj --groups 16 --arch sequential --legendre 3,0.0833,22089285.71,119000000.0,28767857.14,279267857.1,1964285.714,785714.2857,35714.28571,35714.28571,5.991071429,56244093.04,13651670.38,938.7232143,19688.72321,2000000.0,0.029509455,,,,4.968490545
ruby,kripke.exe,"--niter 10 --pmethod bj --groups 16 --arch sequential --legendre 3 --procs 4,4,2",0.0666,126687500.0,479875000.0,140437500.0,1238687500.0,0.0,2000000.0,0.0,0.0,894.625,199460919.8,47004083.25,105844.7188,2107278.188,19375000.0,0.149881969,,,,3.846118031
ruby,kripke.exe,--niter 10 --pmethod bj --groups 16 --arch sequential --legendre 4,0.1,32642857.14,172589285.7,41732142.86,408750000.0,2410714.286,785714.2857,35714.28571,35714.28571,7.383928571,79919896.81,13552237.65,938.7232143,19688.72321,2214285.714,0.039863009,,,,5.960136991
ruby,kripke.exe,"--niter 10 --pmethod bj --groups 16 --arch sequential --legendre 4 --procs 4,4,2",0.0666,166000000.0,672062500.0,189375000.0,1708937500.0,1875000.0,2000000.0,0.0,0.0,957.3125,282247818.1,46426311.72,102541.6563,2107144.594,16937500.0,0.190729813,,,,3.805270188
ruby,kripke.exe,--niter 10 --pmethod bj --groups 32 --arch sequential --legendre 0,0.0666,10000000.0,63660714.29,14839285.71,136232142.9,2357142.857,1553571.429,107142.8571,53571.42857,3.973214286,34181468.66,27095979.61,938.7232143,19688.72321,3392857.143,0.023644071,,,,3.972355929
ruby,kripke.exe,"--niter 10 --pmethod bj --groups 32 --arch sequential --legendre 0 --procs 4,4,2",0.0833,124875000.0,337312500.0,120187500.0,951750000.0,0.0,4000000.0,0.0,0.0,885.6875,121760474.7,92528988.03,105812.7188,2107277.188,52437500.0,0.164235687,,,,4.833764313
ruby,kripke.exe,--niter 10 --pmethod bj --groups 32 --arch sequential --legendre 1,0.0833,20535714.29,113035714.3,25214285.71,252750000.0,2446428.571,1535714.286,107142.8571,53571.42857,18.05357143,52306683.03,27054722.57,938.7232143,19688.73214,3750000.0,0.034151705,,,,4.963848295
ruby,kripke.exe,"--niter 10 --pmethod bj --groups 32 --arch sequential --legendre 1 --procs 4,4,2",0.0666,151375000.0,504437500.0,153500000.0,1333250000.0,0.0,4000000.0,0.0,0.0,931.6875,185673142.4,92534314.0,105877.6563,2107279.219,44312500.0,0.199630688,,,,3.796369313
ruby,kripke.exe,--niter 10 --pmethod bj --groups 32 --arch sequential --legendre 2,0.1166,38053571.43,195339285.7,42517857.14,447000000.0,3071428.571,1553571.429,125000.0,71428.57143,7.535714286,82454013.9,27127263.96,938.7142857,19688.70536,3982142.857,0.051052464,,,,6.944947536
ruby,kripke.exe,"--niter 10 --pmethod bj --groups 32 --arch sequential --legendre 2 --procs 4,4,2",0.0666,217437500.0,805625000.0,219812500.0,2051187500.0,2000000.0,4000000.0,0.0,0.0,898.03125,281950519.3,89381829.47,105844.7188,2107278.188,37687500.0,0.254366969,,,,3.741633031
ruby,kripke.exe,--niter 10 --pmethod bj --groups 32 --arch sequential --legendre 3,0.15,62535714.29,310446428.6,66732142.86,718714285.7,4017857.143,1571428.571,125000.0,71428.57143,10.4375,124791461.5,27118821.82,938.7232143,19688.72321,3928571.429,0.072426,,,,8.927574
ruby,kripke.exe,"--niter 10 --pmethod bj --groups 32 --arch sequential --legendre 3 --procs 4,4,2",0.0833,329875000.0,1248125000.0,323062500.0,3131375000.0,2312500.0,3875000.0,0.0,0.0,949.875,439373758.4,96042758.31,105844.6875,2107278.188,33812500.0,0.335811875,,,,4.662188125
ruby,kripke.exe,--niter 10 --pmethod bj --groups 32 --arch sequential --legendre 4,0.2166,94160714.29,458678571.4,97875000.0,1068553571.0,4875000.0,1571428.571,160714.2857,71428.57143,9.303571429,179140880.2,27140910.64,938.7321429,19688.72321,4625000.0,0.100774679,,,,12.89522532
ruby,kripke.exe,"--niter 10 --pmethod bj --groups 32 --arch sequential --legendre 4 --procs 4,4,2",0.0833,404125000.0,1702125000.0,412875000.0,4169125000.0,4000000.0,4000000.0,0.0,0.0,930.6875,629508420.2,101969880.7,105844.7188,2107278.188,31437500.0,0.440563313,,,,4.557436688
ruby,kripke.exe,--niter 10 --pmethod bj --groups 8 --arch sequential --legendre 0,0.0333,2214285.714,14392857.14,3517857.143,30803571.43,553571.4286,392857.1429,0.0,17857.14286,7.678571429,8294193.571,6861066.188,938.7142857,19688.71429,714285.7143,0.006305937,,,,1.991694063
ruby,kripke.exe,"--niter 10 --pmethod bj --groups 8 --arch sequential --legendre 0 --procs 4,4,2",0.0666,49875000.0,98750000.0,39500000.0,301125000.0,0.0,0.0,0.0,0.0,893.03125,29425713.28,24067664.59,105845.6563,2107278.219,3562500.0,0.049698938,,,,3.946301063
ruby,kripke.exe,--niter 10 --pmethod bj --groups 8 --arch sequential --legendre 1,0.0333,3500000.0,21571428.57,5464285.714,48482142.86,607142.8571,392857.1429,0.0,17857.14286,3.0625,11934530.37,6752163.241,938.7232143,19688.72321,732142.8571,0.007811018,,,,1.990188982
ruby,kripke.exe,"--niter 10 --pmethod bj --groups 8 --arch sequential --legendre 1 --procs 4,4,2",0.0666,54625000.0,124437500.0,46562500.0,364500000.0,0.0,0.0,0.0,0.0,929.9375,43568680.28,23400858.78,105845.6563,2107278.219,3875000.0,0.055523219,,,,3.940476781
ruby,kripke.exe,--niter 10 --pmethod bj --groups 8 --arch sequential --legendre 2,0.05,5821428.571,33785714.29,8714285.714,78571428.57,696428.5714,392857.1429,0.0,17857.14286,7.419642857,18066345.54,6801909.527,938.7232143,19688.73214,839285.7143,0.010055607,,,,2.989944393
ruby,kripke.exe,"--niter 10 --pmethod bj --groups 8 --arch sequential --legendre 2 --procs 4,4,2",0.0666,60812500.0,165937500.0,57812500.0,465687500.0,0.0,0.0,0.0,0.0,993.5625,65076544.94,23808707.47,102540.75,2107144.563,3687500.0,0.067952312,,,,3.928047688
ruby,kripke.exe,--niter 10 --pmethod bj --groups 8 --arch sequential --legendre 3,0.05,8821428.571,50535714.29,13250000.0,119857142.9,803571.4286,392857.1429,0.0,17857.14286,6.75,26582694.23,6816837.563,938.7232143,19688.73214,928571.4286,0.013592116,,,,2.986407884
ruby,kripke.exe,"--niter 10 --pmethod bj --groups 8 --arch sequential --legendre 3 --procs 4,4,2",0.0833,76750000.0,236437500.0,78312500.0,644750000.0,0.0,0.0,0.0,0.0,936.1875,95771777.0,23634809.97,105877.6563,2107279.219,4562500.0,0.080649531,,,,4.917350469
ruby,kripke.exe,--niter 10 --pmethod bj --groups 8 --arch sequential --legendre 4,0.05,12821428.57,72250000.0,19089285.71,173392857.1,1035714.286,392857.1429,17857.14286,17857.14286,3.258928571,37543874.59,6781382.071,938.7321429,19688.72321,928571.4286,0.017497902,,,,2.982502098
ruby,kripke.exe,"--niter 10 --pmethod bj --groups 8 --arch sequential --legendre 4 --procs 4,4,2",0.0666,90750000.0,315875000.0,100312500.0,840375000.0,0.0,0.0,0.0,0.0,909.5,134213780.7,23493376.44,105875.6875,2107279.156,5062500.0,0.100541719,,,,3.895458281
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 0,0.0333,2875000.0,28053571.43,5464285.714,51785714.29,1178571.429,589285.7143,35714.28571,17857.14286,10.66964286,16730073.06,13592711.3,938.7321429,19688.72321,1660714.286,0.01015867,,,,1.98784133
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 0 --procs 4,4,2",0.0666,63937500.0,161312500.0,51375000.0,408812500.0,0.0,0.0,0.0,0.0,946.40625,60326422.63,49186230.81,105877.6563,2107279.219,17750000.0,0.073682375,,,,3.922317625
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 1,0.05,6303571.429,45821428.57,9767857.143,94714285.71,1196428.571,589285.7143,35714.28571,17857.14286,6.339285714,24620163.56,13582736.82,938.7232143,19688.72321,1714285.714,0.014312804,,,,2.985687196
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 1 --procs 4,4,2",0.0666,74375000.0,222562500.0,66312500.0,555062500.0,0.0,0.0,0.0,0.0,864.78125,88676259.47,47541901.66,102541.6563,2107144.594,15562500.0,0.08738825,,,,3.90861175
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 2,0.0666,12125000.0,75553571.43,16964285.71,166535714.3,1517857.143,589285.7143,35714.28571,17857.14286,5.901785714,37805532.17,13583619.54,938.7232143,19688.72321,1839285.714,0.019986205,,,,3.976013795
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 2 --procs 4,4,2",0.0666,100625000.0,341562500.0,97000000.0,847937500.0,0.0,0.0,0.0,0.0,979.9375,134343120.1,47267891.06,105845.6563,2107278.219,16437500.0,0.118787062,,,,3.877212938
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 3,0.0666,20303571.43,117196428.6,27053571.43,267196428.6,1964285.714,607142.8571,35714.28571,17857.14286,5.785714286,56243438.29,13489004.55,938.7232143,19688.72321,2142857.143,0.027461304,,,,3.968538696
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 3 --procs 4,4,2",0.0666,134500000.0,487187500.0,135375000.0,1210687500.0,0.0,0.0,0.0,0.0,943.96875,199361123.5,47569086.09,105844.7188,2107278.188,16812500.0,0.144106125,,,,3.851893875
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 4,0.1,30910714.29,170875000.0,40035714.29,396964285.7,2428571.429,607142.8571,35714.28571,17857.14286,3.044642857,79931052.63,13463639.71,938.7232143,19688.73214,2303571.429,0.038274848,,,,5.961725152
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 4 --procs 4,4,2",0.0666,173375000.0,695187500.0,187000000.0,1711812500.0,1000000.0,0.0,0.0,0.0,933.03125,281128695.0,47006358.22,105845.6563,2107278.219,16437500.0,0.190008188,,,,3.805991813
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 32 --arch sequential --legendre 0,0.0666,6892857.143,60660714.29,11482142.86,113607142.9,2339285.714,1196428.571,107142.8571,53571.42857,4.241071429,34198387.71,27095020.02,938.7232143,19688.72321,3285714.286,0.021190098,,,,3.974809902
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 32 --arch sequential --legendre 0 --procs 4,4,2",0.0666,99312500.0,309250000.0,88125000.0,733875000.0,0.0,0.0,0.0,0.0,887.90625,117204587.3,93928124.28,105813.6563,2107277.219,43750000.0,0.135399406,,,,3.860600594
