machine,app,args,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3,0.15,8200000000.0,19396000000.0,6214000000.0,59934000000.0,148000000.0,116000000.0,0.0,0.0,3259321.0,11408071539.0,5963227690.0,105104.0,2240753.0,260000000.0,6.572249,,,,2.427751
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3,0.4833,22812642857.0,35977892857.0,12364785714.0,96942392857.0,69964285.71,25571428.57,9071428.571,6464285.714,23731.78571,209875204.1,6475068041.0,108899.7679,2109464.821,1367178571.0,8.884578107,,,,20.11342189
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3 -pa,0.1333,8196000000.0,19392000000.0,6210000000.0,59936000000.0,150000000.0,116000000.0,0.0,0.0,3260591.0,11411835794.0,5947028764.0,105104.0,2240753.0,256000000.0,6.617439,,,,1.380561
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3 -pa,0.5,23329571429.0,36779035714.0,12612321429.0,99063000000.0,69428571.43,25392857.14,9000000.0,6428571.429,24916.92857,209852623.7,6621737854.0,108901.75,2109464.857,1353678571.0,8.838080125,,,,21.16191988
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3.1,0.1333,8428000000.0,19944000000.0,6390000000.0,61630000000.0,162000000.0,120000000.0,0.0,0.0,3351209.0,11734268534.0,6122195039.0,105105.0,2241731.0,262000000.0,6.778034,,,,1.219966
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3.1 -pa,0.15,8426000000.0,19942000000.0,6388000000.0,61626000000.0,162000000.0,118000000.0,0.0,0.0,3351557.0,11729692183.0,6126649140.0,105104.0,2241732.0,260000000.0,6.781737,,,,2.218263
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3.2,0.15,8658000000.0,20480000000.0,6562000000.0,63274000000.0,168000000.0,124000000.0,0.0,0.0,3441472.0,12049886535.0,6287297521.0,105104.0,2242707.0,268000000.0,7.012319,,,,1.987681
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3.2 -pa,0.15,8658000000.0,20480000000.0,6562000000.0,63280000000.0,166000000.0,124000000.0,0.0,0.0,3440535.0,12050147262.0,6289120064.0,105104.0,2242708.0,262000000.0,6.932646,,,,2.067354
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3.3,0.15,8882000000.0,21016000000.0,6734000000.0,64930000000.0,170000000.0,126000000.0,0.0,0.0,3530032.0,12365049872.0,6474048625.0,105103.0,2243681.0,276000000.0,7.177676,,,,1.822324
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3.3 -pa,0.1666,8880000000.0,21014000000.0,6732000000.0,64938000000.0,172000000.0,126000000.0,0.0,0.0,3530788.0,12361102737.0,6454868939.0,105103.0,2243681.0,270000000.0,7.122713,,,,2.873287
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3.4,0.15,9112000000.0,21554000000.0,6906000000.0,66622000000.0,176000000.0,130000000.0,0.0,0.0,3622104.0,12683629752.0,6622783170.0,105105.0,2244598.0,284000000.0,7.362699,,,,1.637301
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3.4 -pa,0.15,9108000000.0,21562000000.0,6908000000.0,66626000000.0,176000000.0,130000000.0,0.0,0.0,3622725.0,12683111991.0,6644579302.0,105104.0,2244599.0,276000000.0,7.322474,,,,1.677526
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3.5,0.15,9344000000.0,22108000000.0,7084000000.0,68308000000.0,170000000.0,132000000.0,0.0,0.0,3713080.0,13007135350.0,6786328251.0,105104.0,2245574.0,292000000.0,7.51206,,,,1.48794
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3.5,0.5333,26450428571.0,41672107143.0,14322107143.0,112359000000.0,79678571.43,29321428.57,10464285.71,7678571.429,25953.125,239195776.9,7354674481.0,108901.75,2109550.946,1557392857.0,10.05307009,,,,21.94492991
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3.5 -pa,0.15,9334000000.0,22106000000.0,7082000000.0,68304000000.0,170000000.0,132000000.0,0.0,0.0,3713147.0,13007105914.0,6782195441.0,105104.0,2245574.0,290000000.0,7.522385,,,,1.477615
