machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
ruby,1.8602957,-1.4266186,-0.06774091,0.3067206,-1.0518092,0.57380736,-0.8810698,-1.1777903,0.098612584,0.39931393,-0.093200825,-1.6680126,0.23699869,1.8157831,0.373806,1,4482143,29642858,7142857,63321428,1178571.4,785714.3,35714.285,35714.285,6.401786,16715290,13546053,938.7232,19688.723,1535714.2,1
ruby,1.8602957,-1.4266186,-0.06774091,0.3067206,-1.0518092,0.57380736,-0.8810698,-1.1777903,0.098612584,0.39931393,-0.093200825,-1.6680126,0.23699869,1.8157831,0.373806,1,8125000,47660716,11482143,106875000,1196428.6,767857.1,35714.285,35714.285,10.339286,24634842,13646610,938.7143,19688.715,1571428.6,1.332
ruby,1.8602957,-1.4266186,-0.06774091,0.3067206,-1.0518092,0.57380736,-0.8810698,-1.1777903,0.098612584,0.39931393,-0.093200825,-1.6680126,0.23699869,1.8157831,0.373806,1,13839286,77250000,18678572,178339280,1553571.4,767857.1,35714.285,35714.285,7.589286,37787416,13571255,938.7321,19688.723,1857142.9,1.2507508
ruby,1.8602957,-1.4266186,-0.06774091,0.3067206,-1.0518092,0.57380736,-0.8810698,-1.1777903,0.098612584,0.39931393,-0.093200825,-1.6680126,0.23699869,1.8157831,0.373806,1,22089286,119000000,28767858,279267870,1964285.8,785714.3,35714.285,35714.285,5.991071,56244092,13651670,938.7232,19688.723,2000000,1.3997599
ruby,1.8602957,-1.4266186,-0.06774091,0.3067206,-1.0518092,0.57380736,-0.8810698,-1.1777903,0.098612584,0.39931393,-0.093200825,-1.6680126,0.23699869,1.8157831,0.373806,1,32642858,172589280,41732144,408750000,2410714.2,785714.3,35714.285,35714.285,7.383929,79919896,13552238,938.7232,19688.723,2214285.8,1.333
ruby,1.8602957,-1.4266186,-0.06774091,0.3067206,-1.0518092,0.57380736,-0.8810698,-1.1777903,0.098612584,0.39931393,-0.093200825,-1.6680126,0.23699869,1.8157831,0.373806,1,10000000,63660716,14839286,136232140,2357142.8,1553571.4,107142.86,53571.43,3.9732144,34181468,27095980,938.7232,19688.723,3392857.2,1.5015016
ruby,1.8602957,-1.4266186,-0.06774091,0.3067206,-1.0518092,0.57380736,-0.8810698,-1.1777903,0.098612584,0.39931393,-0.093200825,-1.6680126,0.23699869,1.8157831,0.373806,1,20535714,113035710,25214286,252750000,2446428.5,1535714.2,107142.86,53571.43,18.053572,52306684,27054722,938.7232,19688.732,3750000,1.3997599
ruby,1.8602957,-1.4266186,-0.06774091,0.3067206,-1.0518092,0.57380736,-0.8810698,-1.1777903,0.098612584,0.39931393,-0.093200825,-1.6680126,0.23699869,1.8157831,0.373806,1,38053572,195339280,42517856,447000000,3071428.5,1553571.4,125000,71428.57,7.535714,82454020,27127264,938.7143,19688.705,3982142.8,1.5720412
ruby,1.8602957,-1.4266186,-0.06774091,0.3067206,-1.0518092,0.57380736,-0.8810698,-1.1777903,0.098612584,0.39931393,-0.093200825,-1.6680126,0.23699869,1.8157831,0.373806,1,62535716,310446430,66732144,718714300,4017857.2,1571428.6,125000,71428.57,10.4375,124791464,27118822,938.7232,19688.723,3928571.5,1.3333334
ruby,1.8602957,-1.4266186,-0.06774091,0.3067206,-1.0518092,0.57380736,-0.8810698,-1.1777903,0.098612584,0.39931393,-0.093200825,-1.6680126,0.23699869,1.8157831,0.373806,1,94160710,458678560,97875000,1068553600,4875000,1571428.6,160714.28,71428.57,9.303572,179140880,27140910,938.7321,19688.723,4625000,1.307941
