machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Quartz,0.45007977,0.51266557,1.6240631,1.3218427,-0.1306315,-0.6702246,0.20574065,0.02243449,0.62883234,0.4207439,0.5798191,-0.5857649,-0.085785784,0.39651757,0.537351,1,7111111,46305556,11166667,98944450,1722222.2,1666666.6,83333.336,83333.336,6.25,26038076,26638960,525.05554,30141.916,11777778,1
Quartz,0.45007977,0.51266557,1.6240631,1.3218427,-0.1306315,-0.6702246,0.20574065,0.02243449,0.62883234,0.4207439,0.5798191,-0.5857649,-0.085785784,0.39651757,0.537351,1,12416667,73916664,17916666,165555550,1750000,2388889,83333.336,83333.336,9.152778,38292890,26702312,525.05554,30141.916,11916667,0.7507508
Quartz,0.45007977,0.51266557,1.6240631,1.3218427,-0.1306315,-0.6702246,0.20574065,0.02243449,0.62883234,0.4207439,0.5798191,-0.5857649,-0.085785784,0.39651757,0.537351,1,21527778,120250000,29166666,277444450,2472222.2,3583333.2,138888.89,111111.11,22,58800010,26588580,525.05554,30141.916,11750000,0.79951984
Quartz,0.45007977,0.51266557,1.6240631,1.3218427,-0.1306315,-0.6702246,0.20574065,0.02243449,0.62883234,0.4207439,0.5798191,-0.5857649,-0.085785784,0.39651757,0.537351,1,34333332,185222220,44916668,434333340,2833333.2,5250000,138888.89,111111.11,19,87480030,26651084,525.05554,30141.916,12694444,0.7144082
Quartz,0.45007977,0.51266557,1.6240631,1.3218427,-0.1306315,-0.6702246,0.20574065,0.02243449,0.62883234,0.4207439,0.5798191,-0.5857649,-0.085785784,0.39651757,0.537351,1,50722224,268611100,65166668,635722240,3055555.5,7444444.5,166666.67,111111.11,5.0555553,124326590,26606524,525.05554,30141.916,12750000,0.7501876
Quartz,0.45007977,0.51266557,1.6240631,1.3218427,-0.1306315,-0.6702246,0.20574065,0.02243449,0.62883234,0.4207439,0.5798191,-0.5857649,-0.085785784,0.39651757,0.537351,1,15583333,99138890,23166666,211944450,3472222.2,3388889,166666.67,194444.44,11.291667,53147028,53375364,525.05554,30141.916,23694444,0.666
Quartz,0.45007977,0.51266557,1.6240631,1.3218427,-0.1306315,-0.6702246,0.20574065,0.02243449,0.62883234,0.4207439,0.5798191,-0.5857649,-0.085785784,0.39651757,0.537351,1,31833334,175833330,39388890,392861120,3527777.8,4972222,166666.67,222222.22,15.027778,81357430,53461720,525.05554,30141.916,23305556,0.7144082
Quartz,0.45007977,0.51266557,1.6240631,1.3218427,-0.1306315,-0.6702246,0.20574065,0.02243449,0.62883234,0.4207439,0.5798191,-0.5857649,-0.085785784,0.39651757,0.537351,1,59111110,303944450,66388890,695000000,4527778,7555555.5,250000,222222.22,9.555555,128256376,53200544,525.05554,30141.916,24777778,0.6361157
Quartz,0.45007977,0.51266557,1.6240631,1.3218427,-0.1306315,-0.6702246,0.20574065,0.02243449,0.62883234,0.4207439,0.5798191,-0.5857649,-0.085785784,0.39651757,0.537351,1,97388890,483472220,104250000,1118444400,5222222,11111111,250000,222222.22,12.222222,194015100,53270868,525.05554,30141.916,26027778,0.75
Quartz,0.45007977,0.51266557,1.6240631,1.3218427,-0.1306315,-0.6702246,0.20574065,0.02243449,0.62883234,0.4207439,0.5798191,-0.5857649,-0.085785784,0.39651757,0.537351,1,146222220,713750000,152805550,1661611100,6750000,15805556,361111.12,222222.22,8.527778,278577000,53176580,525.05554,30141.916,26277778,0.7645605
Quartz,0.45007977,0.51266557,1.6240631,1.3218427,-0.1306315,-0.6702246,0.20574065,0.02243449,0.62883234,0.4207439,0.5798191,-0.5857649,-0.085785784,0.39651757,0.537351,1,3361111,22305556,5500000,47611110,861111.1,833333.3,27777.777,27777.777,12.402778,12862180,13461422,525.05554,30141.916,4388889,0.666
Quartz,0.45007977,0.51266557,1.6240631,1.3218427,-0.1306315,-0.6702246,0.20574065,0.02243449,0.62883234,0.4207439,0.5798191,-0.5857649,-0.085785784,0.39651757,0.537351,1,5500000,33666668,8527778,75638890,916666.7,1166666.6,27777.777,55555.555,6.3194447,18540896,13417601,525.05554,30141.916,4750000,1
Quartz,0.45007977,0.51266557,1.6240631,1.3218427,-0.1306315,-0.6702246,0.20574065,0.02243449,0.62883234,0.4207439,0.5798191,-0.5857649,-0.085785784,0.39651757,0.537351,1,8861111,52361110,13583333,121611110,1027777.75,1750000,27777.777,27777.777,14.625,28034570,13403595,525.05554,30141.916,5222222,1
Quartz,0.45007977,0.51266557,1.6240631,1.3218427,-0.1306315,-0.6702246,0.20574065,0.02243449,0.62883234,0.4207439,0.5798191,-0.5857649,-0.085785784,0.39651757,0.537351,1,13638889,78555550,20666666,186138900,1194444.5,2555555.5,55555.555,55555.555,15.180555,41330944,13505054,525.05554,30141.916,5388889,0.7507508
