machine,0_app,1_app,2_app,3_app,4_app,5_app,6_app,7_app,8_app,9_app,10_app,11_app,12_app,13_app,14_app,15_app,16_app,17_app,18_app,19_app,20_app,21_app,22_app,23_app,24_app,25_app,26_app,27_app,28_app,29_app,30_app,0_emb,1_emb,2_emb,3_emb,4_emb,5_emb,6_emb,7_emb,8_emb,9_emb,10_emb,11_emb,12_emb,13_emb,14_emb,15_emb,16_emb,17_emb,18_emb,19_emb,20_emb,21_emb,22_emb,23_emb,24_emb,25_emb,26_emb,27_emb,28_emb,29_emb,30_emb,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
corona,0.05286272,-0.4249754,2.0863035,0.62215394,0.1510812,-1.015628,0.87343836,-0.9376745,0.03133435,-0.34890112,0.33391267,0.47773528,-0.6075711,0.36267108,-0.18031564,1,444000000,665884540,375056450,2046000000,63538760,-1,-1,-1,-1,-1,-1,538330,3059100,707388800,0.7507508,-1.2573086,0.16113806,1.4142821,2.0710564,0.964415,0.8234841,-0.8962326,-0.7110446,-1.0535107,-0.31601825,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.016645,0.019877,0.024527,0.006581,0.007968,0.030293,0.033368,0.033437,0.014671,0.023515,0.017908,299.1543,0.088591,0.002123,0.058249,0.087846,0.04666,0.024956,0.043512,0.005047,0.043723,0.057832,0.034122,0.030034,0.049325,0.005318,0.045278,0.029901,0.041785,0.048773,0.059747,0.039036,0.253334,0.02844,0.013882,0.054099,0.028138,0.067885,0.102102,0.05945,0.03379,0.039229,3.23091,0.039371,0.03375,0.049101743,0.010384,0.153749286,0.043776,0.012722,0.012581,0.071338986,0.026978,0.026637,0.034930886,0.028184,0.049327,0.013608,0.026724371,1.716143444,1.944808222,0.085109,0.00295,0.003451
corona,0.05286272,-0.4249754,2.0863035,0.62215394,0.1510812,-1.015628,0.87343836,-0.9376745,0.03133435,-0.34890112,0.33391267,0.47773528,-0.6075711,0.36267108,-0.18031564,1,438000000,672294500,378443230,2014000000,64233892,-1,-1,-1,-1,-1,-1,541418,3059100,739324400,1.332,-1.2573086,0.16113806,1.4142821,2.0710564,0.964415,0.8234841,-0.8962326,-0.7110446,-1.0535107,-0.31601825,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.016645,0.019877,0.024527,0.006581,0.007968,0.030293,0.033368,0.033437,0.014671,0.023515,0.017908,299.1543,0.088591,0.002123,0.058249,0.087846,0.04666,0.024956,0.043512,0.005047,0.043723,0.057832,0.034122,0.030034,0.049325,0.005318,0.045278,0.029901,0.041785,0.048773,0.059747,0.039036,0.253334,0.02844,0.013882,0.054099,0.028138,0.067885,0.102102,0.05945,0.03379,0.039229,3.23091,0.039371,0.03375,0.049101743,0.010384,0.153749286,0.043776,0.012722,0.012581,0.071338986,0.026978,0.026637,0.034930886,0.028184,0.049327,0.013608,0.026724371,1.716143444,1.944808222,0.085109,0.00295,0.003451
corona,0.05286272,-0.4249754,2.0863035,0.62215394,0.1510812,-1.015628,0.87343836,-0.9376745,0.03133435,-0.34890112,0.33391267,0.47773528,-0.6075711,0.36267108,-0.18031564,1,466000000,704273900,384205900,2116000000,63245600,-1,-1,-1,-1,-1,-1,547488,3059100,785951360,1.2507508,-1.2573086,0.16113806,1.4142821,2.0710564,0.964415,0.8234841,-0.8962326,-0.7110446,-1.0535107,-0.31601825,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.016645,0.019877,0.024527,0.006581,0.007968,0.030293,0.033368,0.033437,0.014671,0.023515,0.017908,299.1543,0.088591,0.002123,0.058249,0.087846,0.04666,0.024956,0.043512,0.005047,0.043723,0.057832,0.034122,0.030034,0.049325,0.005318,0.045278,0.029901,0.041785,0.048773,0.059747,0.039036,0.253334,0.02844,0.013882,0.054099,0.028138,0.067885,0.102102,0.05945,0.03379,0.039229,3.23091,0.039371,0.03375,0.049101743,0.010384,0.153749286,0.043776,0.012722,0.012581,0.071338986,0.026978,0.026637,0.034930886,0.028184,0.049327,0.013608,0.026724371,1.716143444,1.944808222,0.085109,0.00295,0.003451
corona,0.05286272,-0.4249754,2.0863035,0.62215394,0.1510812,-1.015628,0.87343836,-0.9376745,0.03133435,-0.34890112,0.33391267,0.47773528,-0.6075711,0.36267108,-0.18031564,1,484000000,739254340,392609060,2180000000,64570240,-1,-1,-1,-1,-1,-1,541370,3059100,858222340,1.7507508,-1.2573086,0.16113806,1.4142821,2.0710564,0.964415,0.8234841,-0.8962326,-0.7110446,-1.0535107,-0.31601825,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.016645,0.019877,0.024527,0.006581,0.007968,0.030293,0.033368,0.033437,0.014671,0.023515,0.017908,299.1543,0.088591,0.002123,0.058249,0.087846,0.04666,0.024956,0.043512,0.005047,0.043723,0.057832,0.034122,0.030034,0.049325,0.005318,0.045278,0.029901,0.041785,0.048773,0.059747,0.039036,0.253334,0.02844,0.013882,0.054099,0.028138,0.067885,0.102102,0.05945,0.03379,0.039229,3.23091,0.039371,0.03375,0.049101743,0.010384,0.153749286,0.043776,0.012722,0.012581,0.071338986,0.026978,0.026637,0.034930886,0.028184,0.049327,0.013608,0.026724371,1.716143444,1.944808222,0.085109,0.00295,0.003451
corona,0.05286272,-0.4249754,2.0863035,0.62215394,0.1510812,-1.015628,0.87343836,-0.9376745,0.03133435,-0.34890112,0.33391267,0.47773528,-0.6075711,0.36267108,-0.18031564,1,506000000,781914200,404183330,2260000000,65716948,-1,-1,-1,-1,-1,-1,539850,3059100,1002288600,2.0015016,-1.2573086,0.16113806,1.4142821,2.0710564,0.964415,0.8234841,-0.8962326,-0.7110446,-1.0535107,-0.31601825,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.016645,0.019877,0.024527,0.006581,0.007968,0.030293,0.033368,0.033437,0.014671,0.023515,0.017908,299.1543,0.088591,0.002123,0.058249,0.087846,0.04666,0.024956,0.043512,0.005047,0.043723,0.057832,0.034122,0.030034,0.049325,0.005318,0.045278,0.029901,0.041785,0.048773,0.059747,0.039036,0.253334,0.02844,0.013882,0.054099,0.028138,0.067885,0.102102,0.05945,0.03379,0.039229,3.23091,0.039371,0.03375,0.049101743,0.010384,0.153749286,0.043776,0.012722,0.012581,0.071338986,0.026978,0.026637,0.034930886,0.028184,0.049327,0.013608,0.026724371,1.716143444,1.944808222,0.085109,0.00295,0.003451
corona,0.05286272,-0.4249754,2.0863035,0.62215394,0.1510812,-1.015628,0.87343836,-0.9376745,0.03133435,-0.34890112,0.33391267,0.47773528,-0.6075711,0.36267108,-0.18031564,1,554000000,938036100,548642050,2680000000,105503470,-1,-1,-1,-1,-1,-1,544448,3059100,1537226800,1.5015016,-1.2573086,0.16113806,1.4142821,2.0710564,0.964415,0.8234841,-0.8962326,-0.7110446,-1.0535107,-0.31601825,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.016645,0.019877,0.024527,0.006581,0.007968,0.030293,0.033368,0.033437,0.014671,0.023515,0.017908,299.1543,0.088591,0.002123,0.058249,0.087846,0.04666,0.024956,0.043512,0.005047,0.043723,0.057832,0.034122,0.030034,0.049325,0.005318,0.045278,0.029901,0.041785,0.048773,0.059747,0.039036,0.253334,0.02844,0.013882,0.054099,0.028138,0.067885,0.102102,0.05945,0.03379,0.039229,3.23091,0.039371,0.03375,0.049101743,0.010384,0.153749286,0.043776,0.012722,0.012581,0.071338986,0.026978,0.026637,0.034930886,0.028184,0.049327,0.013608,0.026724371,1.716143444,1.944808222,0.085109,0.00295,0.003451
corona,0.05286272,-0.4249754,2.0863035,0.62215394,0.1510812,-1.015628,0.87343836,-0.9376745,0.03133435,-0.34890112,0.33391267,0.47773528,-0.6075711,0.36267108,-0.18031564,1,576000000,983959500,553777860,2746000000,103830220,-1,-1,-1,-1,-1,-1,545932,3059100,1620043400,1.7507508,-1.2573086,0.16113806,1.4142821,2.0710564,0.964415,0.8234841,-0.8962326,-0.7110446,-1.0535107,-0.31601825,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.016645,0.019877,0.024527,0.006581,0.007968,0.030293,0.033368,0.033437,0.014671,0.023515,0.017908,299.1543,0.088591,0.002123,0.058249,0.087846,0.04666,0.024956,0.043512,0.005047,0.043723,0.057832,0.034122,0.030034,0.049325,0.005318,0.045278,0.029901,0.041785,0.048773,0.059747,0.039036,0.253334,0.02844,0.013882,0.054099,0.028138,0.067885,0.102102,0.05945,0.03379,0.039229,3.23091,0.039371,0.03375,0.049101743,0.010384,0.153749286,0.043776,0.012722,0.012581,0.071338986,0.026978,0.026637,0.034930886,0.028184,0.049327,0.013608,0.026724371,1.716143444,1.944808222,0.085109,0.00295,0.003451
corona,0.05286272,-0.4249754,2.0863035,0.62215394,0.1510812,-1.015628,0.87343836,-0.9376745,0.03133435,-0.34890112,0.33391267,0.47773528,-0.6075711,0.36267108,-0.18031564,1,604000000,1027157000,566777660,2844000000,106456550,-1,-1,-1,-1,-1,-1,547486,3059100,1703781800,2.7522523,-1.2573086,0.16113806,1.4142821,2.0710564,0.964415,0.8234841,-0.8962326,-0.7110446,-1.0535107,-0.31601825,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.016645,0.019877,0.024527,0.006581,0.007968,0.030293,0.033368,0.033437,0.014671,0.023515,0.017908,299.1543,0.088591,0.002123,0.058249,0.087846,0.04666,0.024956,0.043512,0.005047,0.043723,0.057832,0.034122,0.030034,0.049325,0.005318,0.045278,0.029901,0.041785,0.048773,0.059747,0.039036,0.253334,0.02844,0.013882,0.054099,0.028138,0.067885,0.102102,0.05945,0.03379,0.039229,3.23091,0.039371,0.03375,0.049101743,0.010384,0.153749286,0.043776,0.012722,0.012581,0.071338986,0.026978,0.026637,0.034930886,0.028184,0.049327,0.013608,0.026724371,1.716143444,1.944808222,0.085109,0.00295,0.003451
corona,0.05286272,-0.4249754,2.0863035,0.62215394,0.1510812,-1.015628,0.87343836,-0.9376745,0.03133435,-0.34890112,0.33391267,0.47773528,-0.6075711,0.36267108,-0.18031564,1,664000000,1139542300,590994600,3054000000,107565860,-1,-1,-1,-1,-1,-1,542902,3059100,1968858000,3.0030031,-1.2573086,0.16113806,1.4142821,2.0710564,0.964415,0.8234841,-0.8962326,-0.7110446,-1.0535107,-0.31601825,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.016645,0.019877,0.024527,0.006581,0.007968,0.030293,0.033368,0.033437,0.014671,0.023515,0.017908,299.1543,0.088591,0.002123,0.058249,0.087846,0.04666,0.024956,0.043512,0.005047,0.043723,0.057832,0.034122,0.030034,0.049325,0.005318,0.045278,0.029901,0.041785,0.048773,0.059747,0.039036,0.253334,0.02844,0.013882,0.054099,0.028138,0.067885,0.102102,0.05945,0.03379,0.039229,3.23091,0.039371,0.03375,0.049101743,0.010384,0.153749286,0.043776,0.012722,0.012581,0.071338986,0.026978,0.026637,0.034930886,0.028184,0.049327,0.013608,0.026724371,1.716143444,1.944808222,0.085109,0.00295,0.003451
corona,0.05286272,-0.4249754,2.0863035,0.62215394,0.1510812,-1.015628,0.87343836,-0.9376745,0.03133435,-0.34890112,0.33391267,0.47773528,-0.6075711,0.36267108,-0.18031564,1,726000000,1278044300,616531900,3258000000,111589560,-1,-1,-1,-1,-1,-1,541382,3059100,2223578600,4.2537537,-1.2573086,0.16113806,1.4142821,2.0710564,0.964415,0.8234841,-0.8962326,-0.7110446,-1.0535107,-0.31601825,-0.63569605,0.76124257,0.10509434,0.45894417,0.37056145,0.016645,0.019877,0.024527,0.006581,0.007968,0.030293,0.033368,0.033437,0.014671,0.023515,0.017908,299.1543,0.088591,0.002123,0.058249,0.087846,0.04666,0.024956,0.043512,0.005047,0.043723,0.057832,0.034122,0.030034,0.049325,0.005318,0.045278,0.029901,0.041785,0.048773,0.059747,0.039036,0.253334,0.02844,0.013882,0.054099,0.028138,0.067885,0.102102,0.05945,0.03379,0.039229,3.23091,0.039371,0.03375,0.049101743,0.010384,0.153749286,0.043776,0.012722,0.012581,0.071338986,0.026978,0.026637,0.034930886,0.028184,0.049327,0.013608,0.026724371,1.716143444,1.944808222,0.085109,0.00295,0.003451
