,feature_0_df1,feature_1_df1,feature_2_df1,feature_3_df1,feature_4_df1,feature_5_df1,feature_6_df1,feature_7_df1,feature_8_df1,feature_9_df1,feature_10_df1,feature_11_df1,feature_12_df1,feature_13_df1,feature_14_df1,feature_15_df1,feature_16_df1,feature_17_df1,feature_18_df1,feature_19_df1,feature_20_df1,feature_21_df1,feature_22_df1,feature_23_df1,feature_24_df1,feature_25_df1,feature_26_df1,feature_27_df1,feature_28_df1,feature_29_df1,feature_30_df1,machine,feature_0_df2,feature_1_df2,feature_2_df2,feature_3_df2,feature_4_df2,feature_5_df2,feature_6_df2,feature_7_df2,feature_8_df2,feature_9_df2,feature_10_df2,feature_11_df2,feature_12_df2,feature_13_df2,feature_14_df2,feature_15_df2,feature_16_df2,feature_17_df2,feature_18_df2,feature_19_df2,feature_20_df2,feature_21_df2,feature_22_df2,feature_23_df2,feature_24_df2,feature_25_df2,feature_26_df2,feature_27_df2,feature_28_df2,feature_29_df2,feature_30_df2,feature_31_df2,feature_32_df2,feature_33_df2,feature_34_df2,feature_35_df2,feature_36_df2,feature_37_df2,feature_38_df2,feature_39_df2,feature_40_df2,feature_41_df2,feature_42_df2,feature_43_df2,feature_44_df2,feature_45_df2,feature_46_df2,feature_47_df2,feature_48_df2,feature_49_df2,feature_50_df2,feature_51_df2,feature_52_df2,feature_53_df2,feature_54_df2,feature_55_df2,feature_56_df2,feature_57_df2,feature_58_df2,feature_59_df2,feature_60_df2,feature_61_df2,feature_62_df2,feature_63_df2,feature_64_df2,feature_65_df2,feature_66_df2,feature_67_df2,feature_68_df2,feature_69_df2,feature_70_df2,feature_71_df2,feature_72_df2,feature_73_df2,feature_74_df2,feature_75_df2,feature_76_df2,feature_77_df2,feature_78_df2,feature_79_df2
0,0.02252411,-0.018646374,0.0239422,0.01478805,0.010382186,-0.16229565,0.044699535,0.009901299,0.005458766,0.016802428,0.031952657,0.018883077,-0.009456633,0.02486223,0.0069402787,0.003569798,296599940.0,511194050.0,147412980.0,982546800.0,1266587.9,1551073.6,0.0,0.0,11061.062,133945940.0,197024560.0,5773.5977,67703.086,12314334.0,0.021096824,Ruby,1.0152774,-0.0011529792,-0.019893318,0.000500526,-0.003716032,-0.0069469647,-0.013039954,-0.008757928,-0.051576976,0.00037535813,0.0028325543,0.01594993,0.017071197,-0.0017842029,-0.08276738,-0.00282172,8.547486e-05,0.0009037469,6.956186e-05,8.6382686e-05,0.00017998152,0.00019512676,0.001042769,0.0005277668,0.00034572932,0.00010936376,0.00025146722,0.085457385,1.5053184e-05,6.874095e-05,3.4421602e-05,5.9294263e-05,0.000821815,0.000102739046,0.0004307624,0.000109148394,0.0034906096,0.0017698096,0.00026407384,0.00036176055,0.0035551258,0.00022889272,0.00015056386,0.008593109,0.0012682867,0.000101651814,0.00016973534,0.0006132013,0.0014386504,0.002954217,7.9304875e-05,4.1355383e-05,0.00010433391,0.0005077962,0.0028609734,2.4439041e-05,0.00015536374,0.0019723065,0.00017660407,0.00011250479,0.0002965814,2.7056809e-05,0.0006894943,2.1923548e-05,0.000966702,0.0002881507,0.0012890837,0.005002195,5.738621e-05,0.000116148374,0.00019760845,0.000213425,0.0007009699,0.0004436847,5.2852753e-05,0.006942802,0.017066073,5.930456e-05,1.7106911e-05,2.4626697e-05
1,0.02252411,-0.018646374,0.0239422,0.01478805,0.010382186,-0.16229565,0.044699535,0.009901299,0.005458766,0.016802428,0.031952657,0.018883077,-0.009456633,0.02486223,0.0069402787,0.003569798,296599940.0,511194050.0,147412980.0,982546800.0,1266587.9,1551073.6,0.0,0.0,11061.062,133945940.0,197024560.0,5773.5977,67703.086,12314334.0,0.021096824,Ruby,0.20644976,-0.0037617753,-0.0057508606,0.00047802576,-0.008835795,-0.013235749,-0.0059710993,-0.010023935,-0.031531706,0.068614125,0.0018044015,-0.0059769806,-0.0034527227,-0.0011661777,-6.211781e-05,-0.006584811,0.00037451307,0.00082718715,0.0001542294,0.00015729408,6.406429e-05,0.0008201294,0.0001482259,6.529187e-05,0.00020832862,9.8283694e-05,8.274382e-05,0.12192062,1.8355076e-05,5.7113825e-06,4.5136567e-06,5.792784e-06,0.00020809643,0.00013244731,0.0003478898,4.8913425e-05,0.00050412276,0.0020859868,8.46482e-05,0.00029038364,0.00043801634,4.7161262e-05,0.0004815148,0.012791256,0.03705196,9.3972114e-05,0.002883443,0.00041617255,0.0019052125,0.0031073943,5.2025636e-05,5.0276634e-05,0.0010198451,0.00036913413,0.00033280812,8.047611e-05,0.0007049393,0.0008425888,0.00025310428,9.0895606e-05,0.00071185024,1.9215351e-05,0.0006715303,4.954975e-05,0.00020943278,3.2268115e-05,0.0004306486,0.0018146955,0.00015053691,0.00045840858,0.0001271461,0.002592477,0.0002884952,0.0009670212,1.1180661e-05,0.017272193,0.030050602,1.0071441e-06,1.6219781e-05,2.4725585e-05
2,0.02252411,-0.018646374,0.0239422,0.01478805,0.010382186,-0.16229565,0.044699535,0.009901299,0.005458766,0.016802428,0.031952657,0.018883077,-0.009456633,0.02486223,0.0069402787,0.003569798,296599940.0,511194050.0,147412980.0,982546800.0,1266587.9,1551073.6,0.0,0.0,11061.062,133945940.0,197024560.0,5773.5977,67703.086,12314334.0,0.021096824,Ruby,0.14678499,-0.0048822006,-0.007738986,0.00035932078,-0.030786317,-0.0094140945,-0.010658813,-0.0102207735,-0.010067113,0.0057166084,0.0023186365,-0.0017775701,-0.018959157,0.0018681915,-0.0058755907,0.013295258,9.2495524e-05,0.0004270439,0.00016851448,6.341563e-05,0.00016752702,0.00047206768,0.0008730363,0.00027888996,0.0009632852,0.00014958793,0.00019814067,0.016654946,7.522613e-05,2.6864629e-05,2.632136e-05,1.5421854e-05,0.0021384445,0.0006413835,0.00025766814,2.1387803e-05,0.0012323256,0.01034562,0.0012449783,0.0025632144,0.0010215243,1.9225872e-05,0.00018122082,0.0066076037,0.018536096,3.1316322e-05,0.001641496,0.00028529423,0.0037283797,0.008389395,0.00022759715,8.790329e-05,0.0012042027,0.0009019122,0.0018260787,0.00010139647,0.00050832116,0.0006287576,0.00045743407,0.0018474924,0.0005055442,0.000170385,8.82977e-05,0.0007359635,0.0025359693,0.00047636998,0.0018887116,0.00023427959,0.00036594045,0.0009607346,8.691474e-06,0.0009828452,0.0011453934,0.00021827848,2.1754133e-05,0.02754444,0.05067221,2.7937362e-05,6.5134723e-06,0.00012137185
3,0.02252411,-0.018646374,0.0239422,0.01478805,0.010382186,-0.16229565,0.044699535,0.009901299,0.005458766,0.016802428,0.031952657,0.018883077,-0.009456633,0.02486223,0.0069402787,0.003569798,296599940.0,511194050.0,147412980.0,982546800.0,1266587.9,1551073.6,0.0,0.0,11061.062,133945940.0,197024560.0,5773.5977,67703.086,12314334.0,0.021096824,Ruby,0.12841815,-0.002072027,-0.0060060923,0.00034695628,-0.011175037,-0.0022057404,-0.0044124885,-0.012052782,-0.012539697,0.010978716,0.009295419,-0.007856702,0.008595509,0.068733074,0.00128862,-0.0026307472,6.127097e-05,0.0020184042,0.0004528728,0.00020253683,0.00018694477,0.0008830747,0.00083459634,5.1271436e-05,0.00011546031,0.0001985683,9.1170295e-05,0.10114854,1.4840203e-05,2.3066581e-05,4.0657025e-05,9.014835e-05,0.0019408508,0.0003086355,4.3575623e-05,7.588926e-06,0.00042872346,0.009101616,0.0006114156,0.001903935,0.006805212,0.0005169493,0.0015092316,0.0020314814,0.004053035,7.0094364e-05,0.0001225601,0.0003781841,0.001079661,0.0010317073,5.9564994e-05,3.157433e-05,0.0002106796,0.00075404625,0.0012475292,2.9600647e-05,0.00023405567,0.0004645127,0.00023483898,0.0008194619,0.0007416166,1.5288133e-05,0.00028141533,2.8252387e-05,0.0007470104,0.00017213525,9.079676e-05,0.0008343057,0.00037270872,0.00013131081,3.995931e-05,0.0015690875,0.00044804884,0.00014372691,6.5421016e-05,0.066444844,0.039291773,2.4593364e-05,1.8154466e-05,4.94598e-05
4,0.02252411,-0.018646374,0.0239422,0.01478805,0.010382186,-0.16229565,0.044699535,0.009901299,0.005458766,0.016802428,0.031952657,0.018883077,-0.009456633,0.02486223,0.0069402787,0.003569798,296599940.0,511194050.0,147412980.0,982546800.0,1266587.9,1551073.6,0.0,0.0,11061.062,133945940.0,197024560.0,5773.5977,67703.086,12314334.0,0.021096824,Ruby,0.05774084,-0.005752148,-0.025136001,0.0006462743,-0.01823624,-0.002486125,-0.0033896633,-0.010563581,-0.0049689747,0.009289981,0.023728069,0.0022324056,-0.06344741,0.0035020951,-0.007783805,0.0080747865,0.00025825936,0.0010892976,0.00028430045,0.00065610197,0.00014546777,0.00042622455,0.0005027982,0.00015699283,0.00088640803,0.00024968124,0.0002165937,0.008577121,1.0599254e-05,7.31936e-06,0.00021227152,1.2716461e-05,0.0029118485,0.0004985083,0.00067439344,0.00011197102,0.0012619761,0.0020601288,0.0008043774,0.0026295297,0.00065208686,0.001155696,0.0012936036,0.0019014088,0.004824128,4.576909e-05,3.958875e-05,6.0159557e-05,0.0065737762,0.0012413282,0.00015066285,1.6080841e-05,0.0007253497,0.0005613953,0.0057335584,0.00021608021,0.0016187167,0.0010283074,0.0047180117,0.0020370288,0.0005648294,2.7590406e-05,5.4736192e-05,3.842385e-05,0.0024805544,0.0007245925,8.105233e-05,0.0013086519,0.00013305228,0.0008217509,5.850966e-05,0.0024182985,0.0018153979,0.0014012934,0.000115313276,0.0040373933,0.029320879,9.493733e-06,5.960479e-06,3.7998383e-05
5,0.02252411,-0.018646374,0.0239422,0.01478805,0.010382186,-0.16229565,0.044699535,0.009901299,0.005458766,0.016802428,0.031952657,0.018883077,-0.009456633,0.02486223,0.0069402787,0.003569798,296599940.0,511194050.0,147412980.0,982546800.0,1266587.9,1551073.6,0.0,0.0,11061.062,133945940.0,197024560.0,5773.5977,67703.086,12314334.0,0.021096824,Ruby,0.11016687,-0.004538052,-0.00851035,0.00016226947,-0.006129648,-0.008823053,-0.0011527004,-0.012046274,-0.004826146,0.0027566089,0.0009379933,0.0036605408,0.0061110593,-0.002191531,-0.009759024,0.00059982104,2.7905062e-05,0.002641408,0.00015111588,0.0014107191,0.00032230336,0.0013879685,0.0016003037,0.0006120875,0.00059807574,0.0005792118,2.302403e-05,0.05300465,2.5484736e-05,9.227393e-06,1.6044634e-05,0.00039317392,0.00091600494,0.0009772071,0.0023518659,9.977108e-05,0.0006568231,0.0008091397,0.0009121317,0.0018227177,0.011785793,0.00032440695,0.002537146,0.028388452,0.0057652136,0.000104056,8.2796825e-05,0.0016670407,0.017510435,0.02156916,1.7675517e-05,0.00014308876,4.2273678e-05,0.0066574,0.0014185767,6.0836683e-05,0.0022009907,0.0010542177,0.0002085284,0.0044393144,0.000110716916,0.0011133745,0.00038946886,0.00018986175,0.001460531,0.00012603683,5.9706585e-05,9.211191e-05,0.00113273,0.00072643696,4.5114233e-05,0.004185582,0.0017191669,0.0035901228,3.647565e-05,0.3137185,0.0027684618,3.8070195e-06,0.00013183802,0.00023183314
6,0.02252411,-0.018646374,0.0239422,0.01478805,0.010382186,-0.16229565,0.044699535,0.009901299,0.005458766,0.016802428,0.031952657,0.018883077,-0.009456633,0.02486223,0.0069402787,0.003569798,296599940.0,511194050.0,147412980.0,982546800.0,1266587.9,1551073.6,0.0,0.0,11061.062,133945940.0,197024560.0,5773.5977,67703.086,12314334.0,0.021096824,Ruby,0.003791621,-0.004883951,-0.01005355,0.00017492691,-0.0040359856,-0.00079042115,-0.010021552,-0.0085613495,-0.0063547553,0.001333738,0.0028126696,0.020072363,0.0011297931,-0.00038401436,-0.0038137601,-0.0020079117,0.0003634487,0.00516431,0.0005916566,0.0030023325,0.002583666,0.0019464093,0.0033169284,0.0024372195,0.0012572545,0.004088535,0.00018529802,0.01937971,5.7582674e-05,9.6069816e-05,3.1727228e-05,3.621281e-05,0.0021545778,0.000507536,0.0062216893,4.669253e-05,0.0057253786,0.006245211,0.0014617242,0.0022959004,0.011996688,0.0021343725,0.008101482,0.00926144,0.052937943,0.0011475635,0.00096985017,0.0030969928,0.013680106,0.008625884,0.0005831005,0.00041363988,0.00059078826,0.005671061,0.011272753,0.00042761583,0.0014093241,0.007834482,0.0046872883,0.0029033578,0.0010546775,0.00028297352,0.0021039902,0.0008067727,0.067236125,0.00061412225,2.9241257e-05,0.00014862511,0.0016122037,0.0052415943,0.0014469896,0.017624913,0.001166518,0.0010262871,0.00033224243,0.014111503,0.014510681,1.05463705e-05,0.00017720577,0.00010887281
7,0.02252411,-0.018646374,0.0239422,0.01478805,0.010382186,-0.16229565,0.044699535,0.009901299,0.005458766,0.016802428,0.031952657,0.018883077,-0.009456633,0.02486223,0.0069402787,0.003569798,296599940.0,511194050.0,147412980.0,982546800.0,1266587.9,1551073.6,0.0,0.0,11061.062,133945940.0,197024560.0,5773.5977,67703.086,12314334.0,0.021096824,Ruby,0.0007420166,-0.008961231,-0.0018702089,0.00045764283,-0.0014593549,-0.0043122997,-0.00065839535,-0.012140248,-0.0032707152,0.0023087435,0.006660608,-0.0139223775,0.054687418,0.00016743685,0.0024126102,0.0014907275,0.015059858,0.0045355093,0.0038090665,0.011462513,0.01510351,0.004630999,0.0053834,0.009819486,0.014360013,0.0041550132,0.0023386346,0.0003420639,0.000103161176,0.00034311545,0.00024402063,0.0002239329,0.001501571,0.013378001,0.008407989,0.00026606652,0.07789879,0.012017626,0.0049205874,0.0039042016,0.002077454,0.021876145,0.002583291,0.053845923,0.017240308,0.0014151516,0.00047438993,0.005324267,0.027071511,0.047240302,0.00015857499,0.0061927964,0.015625866,0.0135443015,0.006963225,0.00022218523,0.013493341,0.020952843,0.0034892408,0.030522121,0.004317729,0.00035272396,0.0013237299,0.007072716,0.0037188665,0.0041283364,0.0017696063,0.00022833729,0.00078487734,0.0028918742,0.00024004153,0.0036794567,0.0035033983,0.008374289,0.0005382074,0.009380298,0.003453487,0.0006195171,0.000112183625,0.00061205967
8,0.0019898675,-0.00649477,0.13107285,0.04745908,0.0021103125,-0.0054723634,0.025558675,0.005588547,0.16562024,0.0273542,0.022766003,0.01023025,-0.112399705,0.0024544508,0.014241865,0.013250952,68234420.0,377667300.0,50797948.0,1705245000.0,6738269.5,872077.25,0.0,0.0,31686.664,198968900.0,104996650.0,1172.6875,63759.414,2854368.8,0.0050843623,Ruby,1.0152774,-0.0011529792,-0.019893318,0.000500526,-0.003716032,-0.0069469647,-0.013039954,-0.008757928,-0.051576976,0.00037535813,0.0028325543,0.01594993,0.017071197,-0.0017842029,-0.08276738,-0.00282172,8.547486e-05,0.0009037469,6.956186e-05,8.6382686e-05,0.00017998152,0.00019512676,0.001042769,0.0005277668,0.00034572932,0.00010936376,0.00025146722,0.085457385,1.5053184e-05,6.874095e-05,3.4421602e-05,5.9294263e-05,0.000821815,0.000102739046,0.0004307624,0.000109148394,0.0034906096,0.0017698096,0.00026407384,0.00036176055,0.0035551258,0.00022889272,0.00015056386,0.008593109,0.0012682867,0.000101651814,0.00016973534,0.0006132013,0.0014386504,0.002954217,7.9304875e-05,4.1355383e-05,0.00010433391,0.0005077962,0.0028609734,2.4439041e-05,0.00015536374,0.0019723065,0.00017660407,0.00011250479,0.0002965814,2.7056809e-05,0.0006894943,2.1923548e-05,0.000966702,0.0002881507,0.0012890837,0.005002195,5.738621e-05,0.000116148374,0.00019760845,0.000213425,0.0007009699,0.0004436847,5.2852753e-05,0.006942802,0.017066073,5.930456e-05,1.7106911e-05,2.4626697e-05
9,0.0019898675,-0.00649477,0.13107285,0.04745908,0.0021103125,-0.0054723634,0.025558675,0.005588547,0.16562024,0.0273542,0.022766003,0.01023025,-0.112399705,0.0024544508,0.014241865,0.013250952,68234420.0,377667300.0,50797948.0,1705245000.0,6738269.5,872077.25,0.0,0.0,31686.664,198968900.0,104996650.0,1172.6875,63759.414,2854368.8,0.0050843623,Ruby,0.20644976,-0.0037617753,-0.0057508606,0.00047802576,-0.008835795,-0.013235749,-0.0059710993,-0.010023935,-0.031531706,0.068614125,0.0018044015,-0.0059769806,-0.0034527227,-0.0011661777,-6.211781e-05,-0.006584811,0.00037451307,0.00082718715,0.0001542294,0.00015729408,6.406429e-05,0.0008201294,0.0001482259,6.529187e-05,0.00020832862,9.8283694e-05,8.274382e-05,0.12192062,1.8355076e-05,5.7113825e-06,4.5136567e-06,5.792784e-06,0.00020809643,0.00013244731,0.0003478898,4.8913425e-05,0.00050412276,0.0020859868,8.46482e-05,0.00029038364,0.00043801634,4.7161262e-05,0.0004815148,0.012791256,0.03705196,9.3972114e-05,0.002883443,0.00041617255,0.0019052125,0.0031073943,5.2025636e-05,5.0276634e-05,0.0010198451,0.00036913413,0.00033280812,8.047611e-05,0.0007049393,0.0008425888,0.00025310428,9.0895606e-05,0.00071185024,1.9215351e-05,0.0006715303,4.954975e-05,0.00020943278,3.2268115e-05,0.0004306486,0.0018146955,0.00015053691,0.00045840858,0.0001271461,0.002592477,0.0002884952,0.0009670212,1.1180661e-05,0.017272193,0.030050602,1.0071441e-06,1.6219781e-05,2.4725585e-05
