machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp
ruby,lulesh2.0,1,94571428.57,132553571.4,14571428.57,332696428.6,0,0,0,0,0,3195.375,8007922.063,807939.8036,938.7321429,19688.71429,2535714.286,1
ruby,lulesh2.0,1,157553571.4,220571428.6,23375000,552625000,17857.14286,0,0,0,0,5033.473214,12926306.82,1164719.911,938.7232143,19688.72321,8357142.857,3.012048193
ruby,lulesh2.0,1,136375000,194303571.4,21410714.29,487303571.4,0,0,0,0,0,6375.348214,15044255.63,1621694.545,938.7232143,19688.71429,9160714.286,3.012048193
ruby,lulesh2.0,1,167892857.1,240321428.6,27357142.86,603125000,0,17857.14286,0,0,0,9254.607143,22440743.5,2357476.616,938.7232143,19688.71429,14803571.43,1
ruby,lulesh2.0,1,231410714.3,331928571.4,37232142.86,832839285.7,17857.14286,17857.14286,0,0,0,12119.57143,25738670.72,3115926.536,938.7232143,19688.71429,13500000,1.501501502
ruby,lulesh2.0,1,215053571.4,314250000,36750000,789196428.6,17857.14286,0,0,0,0,15878.625,34542915.93,4128557.384,938.7232143,19688.71429,17535714.29,1.501501502
ruby,lulesh2.0,1,285607142.9,416857142.9,48982142.86,1046875000,17857.14286,35714.28571,0,0,0,20451.53571,40823760.98,5053756.857,938.7232143,19688.71429,33017857.14,1.501501502
ruby,lulesh2.0,1,196714285.7,274232142.9,28553571.43,687410714.3,17857.14286,17857.14286,0,0,0,4006.696429,12115520.58,1211790.143,938.7232143,19688.72321,5375000,1.501501502
ruby,lulesh2.0,1,181625000,255785714.3,27410714.29,642821428.6,0,0,0,0,0,6447.982143,19444892.59,1730669.821,938.7232143,19688.71429,12839285.71,1
ruby,lulesh2.0,1,258000000,364285714.3,39267857.14,914607142.9,17857.14286,0,0,0,0,9440.071429,28052364.15,2463914.821,938.7232143,19688.71429,15178571.43,1.501501502
ruby,lulesh2.0,1,250303571.4,359285714.3,40214285.71,900892857.1,17857.14286,17857.14286,0,0,0,12988.07143,27784828.4,3415588.152,938.7232143,19688.71429,27785714.29,1
ruby,lulesh2.0,1,267214285.7,387785714.3,45250000,974785714.3,17857.14286,35714.28571,0,0,0,17662.51786,39474986.18,4650732.482,938.7321429,19688.71429,37607142.86,0.666
ruby,lulesh2.0,1,248696428.6,369928571.4,45625000,931589285.7,35714.28571,35714.28571,0,0,0,23255,49014013.22,6036394.446,938.7232143,19688.71429,42803571.43,1
ruby,lulesh2.0,1,281660714.3,424482142.9,54410714.29,1069839286,17857.14286,35714.28571,0,0,0,29848.16071,62271244.15,7653104.732,938.7232143,19688.72321,52875000,1
ruby,lulesh2.0,1,237928571.4,331839285.7,34964285.71,832589285.7,17857.14286,0,0,0,0,5236.223214,13234721.94,1611424.732,938.7142857,19688.69643,15678571.43,1.501501502
ruby,lulesh2.0,1,325267857.1,454910714.3,47821428.57,1141589286,0,0,0,0,0,8110.285714,19783661.72,2252141.009,938.7232143,19688.72321,15250000,1
ruby,lulesh2.0,1,346642857.1,489357142.9,52857142.86,1228285714,17857.14286,35714.28571,0,0,0,12009.77679,28532813.96,3208518.741,938.7232143,19688.71429,18250000,0.666
ruby,lulesh2.0,1,238339285.7,347785714.3,41446428.57,874000000,17857.14286,17857.14286,0,0,0,17242.91964,49958217.19,4639023,938.7232143,19688.71429,33607142.86,1.501501502
ruby,lulesh2.0,1,427250000,614285714.3,69589285.71,1542303571,0,35714.28571,0,17857.14286,0,23130.48214,53668292.87,6225646.955,938.7232143,19688.71429,56500000,1
ruby,lulesh2.0,1,377214285.7,555535714.3,67357142.86,1397339286,1035714.286,17857.14286,0,17857.14286,0,30774.78571,66500267.07,8083655.402,938.7232143,19688.71429,43357142.86,1.501501502
ruby,lulesh2.0,1,508035714.3,746178571.4,89357142.86,1876107143,1625000,35714.28571,0,17857.14286,0,39585.33036,83965956.03,10209124.47,938.7232143,19688.71429,69857142.86,0.600240096
ruby,lulesh2.0,1,260589285.7,365535714.3,39142857.14,915642857.1,35714.28571,17857.14286,0,0,0,6343.660714,21573507.92,2039634.188,938.7232143,19688.72321,13767857.14,1.501501502
ruby,lulesh2.0,1,409982142.9,573196428.6,60267857.14,1437178571,17857.14286,17857.14286,0,0,0,10035.45536,30781419.15,2865114.161,938.7232143,19688.71429,11892857.14,1.501501502
ruby,lulesh2.0,1,429946428.6,607428571.4,65428571.43,1523553571,17857.14286,17857.14286,0,17857.14286,0,15015.49107,36614351.21,4006782.884,938.7232143,19688.71429,17750000,1.501501502
ruby,lulesh2.0,1,370892857.1,535464285.7,61785714.29,1344553571,35714.28571,35714.28571,0,0,0,20986.40179,48036312.52,5678030.929,938.7232143,19688.71429,49660714.29,1
