machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,duration
quartz,laghos,1,2426000000.0,3356000000.0,968000000.0,11516000000.0,32000000.0,12000000.0,0.0,0.0,0.0,1556948.0,1461157318.0,1076277724.0,37771.0,2190229.0,116000000.0,0.05
quartz,laghos,1,2426000000.0,3356000000.0,968000000.0,11516000000.0,32000000.0,12000000.0,0.0,0.0,0.0,1556449.0,1460442876.0,1077872352.0,37771.0,2190229.0,116000000.0,0.05
quartz,laghos,1,2792000000.0,3862000000.0,1114000000.0,13250000000.0,26000000.0,16000000.0,0.0,0.0,0.0,1789740.0,1680159170.0,1238203078.0,37771.0,2193037.0,140000000.0,0.0666
quartz,laghos,1,2792000000.0,3862000000.0,1108000000.0,13250000000.0,38000000.0,14000000.0,0.0,0.0,0.0,1790082.0,1681196754.0,1238368945.0,37771.0,2193037.0,136000000.0,0.0666
quartz,laghos,1,3154000000.0,4360000000.0,1258000000.0,14964000000.0,30000000.0,16000000.0,0.0,0.0,0.0,2021762.0,1896564610.0,1396403653.0,37771.0,2195719.0,150000000.0,0.0666
quartz,laghos,1,3152000000.0,4358000000.0,1258000000.0,14960000000.0,30000000.0,18000000.0,0.0,0.0,0.0,2022435.0,1897379725.0,1397572057.0,37771.0,2195719.0,142000000.0,0.0666
quartz,laghos,1,3434000000.0,4746000000.0,1368000000.0,16294000000.0,36000000.0,18000000.0,0.0,0.0,0.0,2202499.0,2065152466.0,1520600593.0,37771.0,2197853.0,170000000.0,0.0666
quartz,laghos,1,3434000000.0,4746000000.0,1368000000.0,16292000000.0,32000000.0,20000000.0,0.0,0.0,0.0,2202362.0,2065421903.0,1520505953.0,37771.0,2197855.0,172000000.0,0.0666
quartz,laghos,1,3640000000.0,5040000000.0,1452000000.0,17290000000.0,42000000.0,18000000.0,2000000.0,0.0,0.0,2337750.0,2193317921.0,1615712489.0,37771.0,2199440.0,180000000.0,0.0666
quartz,laghos,1,3644000000.0,5036000000.0,1450000000.0,17290000000.0,34000000.0,18000000.0,0.0,0.0,0.0,2338564.0,2191995118.0,1614181110.0,37771.0,2199439.0,178000000.0,0.0833
quartz,laghos,1,3788000000.0,5244000000.0,1512000000.0,17994000000.0,50000000.0,20000000.0,0.0,0.0,0.0,2430175.0,2282039382.0,1680659639.0,37771.0,2200601.0,186000000.0,0.0666
quartz,laghos,1,3792000000.0,5244000000.0,1514000000.0,17998000000.0,44000000.0,20000000.0,2000000.0,0.0,0.0,2431784.0,2282041862.0,1681138751.0,37771.0,2200600.0,186000000.0,0.0666
