machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,duration
quartz,lulesh2.0,1,177166666.7,248305555.6,25833333.33,620472222.2,27777.77778,0.0,0.0,0.0,0.0,4382.277778,9470763.681,2138761.958,525.0555556,30141.90278,11055555.56,0.0333
quartz,lulesh2.0,1,161138888.9,228527777.8,25305555.56,572305555.6,0.0,0.0,0.0,0.0,0.0,6657.347222,13914286.15,2974971.917,525.0555556,30141.88889,13222222.22,0.05
quartz,lulesh2.0,1,161805555.6,233083333.3,26500000.0,585388888.9,27777.77778,27777.77778,0.0,0.0,0.0,9815.861111,21109198.51,4262137.75,525.0555556,30141.90278,16583333.33,0.05
quartz,lulesh2.0,1,221250000.0,320138888.9,37055555.56,803166666.7,0.0,27777.77778,0.0,0.0,0.0,13730.31944,28171775.35,5936978.972,525.0555556,30141.875,27861111.11,0.0333
quartz,lulesh2.0,1,217361111.1,321416666.7,38888888.89,807972222.2,0.0,27777.77778,0.0,0.0,0.0,18742.69444,37435115.01,8185867.125,525.0555556,30141.90278,37138888.89,0.05
quartz,lulesh2.0,1,266972222.2,397194444.4,48916666.67,997055555.6,55555.55556,27777.77778,0.0,0.0,0.0,24313.33333,49074090.44,10692962.49,525.0555556,30141.90278,46194444.44,0.05
quartz,lulesh2.0,1,269222222.2,409611111.1,53222222.22,1030194444.0,416666.6667,55555.55556,0.0,27777.77778,0.0,31181.81944,62911631.97,13492087.38,525.0555556,30141.90278,65694444.44,0.05
quartz,lulesh2.0,1,192888888.9,272138888.9,29611111.11,681777777.8,27777.77778,27777.77778,0.0,0.0,0.0,6128.361111,14791285.4,3200073.875,525.0555556,30141.90278,18500000.0,0.05
quartz,lulesh2.0,1,225416666.7,320416666.7,35583333.33,802611111.1,0.0,27777.77778,0.0,0.0,0.0,9581.458333,24425780.18,4462536.125,525.0555556,30141.90278,18916666.67,0.0333
quartz,lulesh2.0,1,330083333.3,471000000.0,51972222.22,1178500000.0,27777.77778,0.0,0.0,0.0,0.0,14272.58333,29742957.28,6332422.139,525.0555556,30141.88889,29222222.22,0.05
quartz,lulesh2.0,1,280388888.9,410111111.1,48472222.22,1029888889.0,27777.77778,27777.77778,0.0,0.0,0.0,20018.79167,41620070.88,8883175.139,525.0555556,30141.90278,41916666.67,0.05
quartz,lulesh2.0,1,336722222.2,496361111.1,60083333.33,1246666667.0,138888.8889,55555.55556,0.0,27777.77778,0.0,27141.41667,54701036.43,12219846.94,525.0555556,30141.90278,55916666.67,0.0333
quartz,lulesh2.0,1,377472222.2,564388888.9,70055555.56,1418416667.0,1722222.222,55555.55556,0.0,27777.77778,0.0,35667.44444,73537297.71,16087750.83,525.0555556,30141.90278,78722222.22,0.05
quartz,lulesh2.0,1,443055555.6,667416666.7,84944444.44,1678944444.0,1805555.556,138888.8889,0.0,27777.77778,0.0,46674.69444,93078590.57,20380351.03,525.0555556,30141.90278,99000000.0,0.05
quartz,lulesh2.0,1,250611111.1,352805555.6,38638888.89,885222222.2,55555.55556,0.0,0.0,0.0,0.0,7948.319444,21331856.18,4297165.5,525.0555556,30141.88889,17444444.44,0.05
quartz,lulesh2.0,1,342194444.4,485666666.7,53194444.44,1215916667.0,0.0,27777.77778,0.0,0.0,0.0,12505.38889,31270260.32,5968108.208,525.0555556,30141.88889,33027777.78,0.05
quartz,lulesh2.0,1,412000000.0,587888888.9,65305555.56,1474111111.0,27777.77778,55555.55556,0.0,0.0,0.0,18545.20833,39454580.15,8436323.861,525.0555556,30141.88889,39111111.11,0.0333
quartz,lulesh2.0,1,351916666.7,515972222.2,62000000.0,1295694444.0,416666.6667,0.0,0.0,0.0,0.0,26422.625,55735466.0,11844056.71,525.0555556,30141.90278,61888888.89,0.05
quartz,lulesh2.0,1,422361111.1,625722222.2,76472222.22,1572027778.0,1500000.0,83333.33333,0.0,0.0,0.0,35865.625,73982926.31,16295386.74,525.0555556,30141.90278,73638888.89,0.05
quartz,lulesh2.0,1,530833333.3,789500000.0,97194444.44,1982833333.0,1666666.667,277777.7778,0.0,27777.77778,0.0,47372.27778,98314698.93,21271712.86,525.0555556,30141.88889,97166666.67,0.05
quartz,lulesh2.0,1,639722222.2,955833333.3,119222222.2,2403305556.0,2055555.556,2000000.0,0.0,55555.55556,0.0,61250.47222,121561576.2,27072942.58,525.0555556,30141.88889,124611111.1,0.05
