machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,duration
ruby,laghos,1,8200000000.0,19396000000.0,6214000000.0,59934000000.0,148000000.0,116000000.0,0.0,0.0,0.0,3259321.0,11408071539.0,5963227690.0,105104.0,2240753.0,260000000.0,0.15
ruby,laghos,1,8196000000.0,19392000000.0,6210000000.0,59936000000.0,150000000.0,116000000.0,0.0,0.0,0.0,3260591.0,11411835794.0,5947028764.0,105104.0,2240753.0,256000000.0,0.1333
ruby,laghos,1,9344000000.0,22108000000.0,7084000000.0,68308000000.0,170000000.0,132000000.0,0.0,0.0,0.0,3713080.0,13007135350.0,6786328251.0,105104.0,2245574.0,292000000.0,0.15
ruby,laghos,1,9334000000.0,22106000000.0,7082000000.0,68304000000.0,170000000.0,132000000.0,0.0,0.0,0.0,3713147.0,13007105914.0,6782195441.0,105104.0,2245574.0,290000000.0,0.15
ruby,laghos,1,10430000000.0,24678000000.0,7906000000.0,76240000000.0,190000000.0,148000000.0,0.0,0.0,0.0,4146026.0,14517560928.0,7571605811.0,105104.0,2250086.0,328000000.0,0.1666
ruby,laghos,1,10428000000.0,24672000000.0,7906000000.0,76248000000.0,190000000.0,148000000.0,0.0,0.0,0.0,4146039.0,14517576716.0,7574279006.0,105104.0,2250086.0,324000000.0,0.1666
ruby,laghos,1,12196000000.0,28858000000.0,9246000000.0,89178000000.0,224000000.0,172000000.0,0.0,0.0,0.0,4848539.0,16978740610.0,8851567165.0,105104.0,2257423.0,386000000.0,0.1833
ruby,laghos,1,12200000000.0,28860000000.0,9246000000.0,89172000000.0,224000000.0,172000000.0,0.0,0.0,0.0,4848952.0,16976266120.0,8859637510.0,105104.0,2257423.0,386000000.0,0.2
ruby,laghos,1,13410000000.0,31734000000.0,10168000000.0,98050000000.0,244000000.0,190000000.0,0.0,0.0,0.0,5328932.0,18665444081.0,9738774415.0,105104.0,2262546.0,418000000.0,0.2166
ruby,laghos,1,13408000000.0,31734000000.0,10168000000.0,98044000000.0,246000000.0,190000000.0,0.0,0.0,0.0,5329061.0,18670365360.0,9735260383.0,105104.0,2262546.0,422000000.0,0.2166
ruby,laghos,1,14324000000.0,33896000000.0,10860000000.0,104742000000.0,262000000.0,204000000.0,0.0,0.0,0.0,5694009.0,19941754149.0,10463359718.0,105104.0,2266269.0,442000000.0,0.2166
ruby,laghos,1,14324000000.0,33896000000.0,10860000000.0,104742000000.0,262000000.0,204000000.0,0.0,0.0,0.0,5693743.0,19941070234.0,10406889017.0,105104.0,2266270.0,444000000.0,0.2166
ruby,laghos,1,43946000000.0,146054000000.0,48612000000.0,431178000000.0,1176000000.0,1078000000.0,14000000.0,28000000.0,0.0,7003484.0,95302695137.0,49618616516.0,105104.0,2275702.0,2166000000.0,0.8833
ruby,laghos,1,43936000000.0,146042000000.0,48608000000.0,431162000000.0,1180000000.0,1078000000.0,18000000.0,30000000.0,0.0,6998460.0,95306271654.0,49584732518.0,105104.0,2275702.0,2218000000.0,0.8833
ruby,laghos,1,49326000000.0,163804000000.0,54530000000.0,483538000000.0,1322000000.0,1206000000.0,18000000.0,32000000.0,0.0,7846156.0,106871000000.0,55559561627.0,105104.0,2284062.0,2518000000.0,0.9833
ruby,laghos,1,49320000000.0,163802000000.0,54528000000.0,483526000000.0,1316000000.0,1210000000.0,20000000.0,32000000.0,0.0,7845880.0,106871000000.0,55651301809.0,105104.0,2284062.0,2488000000.0,0.9833
ruby,laghos,1,55026000000.0,182760000000.0,60840000000.0,539442000000.0,1468000000.0,1346000000.0,20000000.0,34000000.0,0.0,8738068.0,119067000000.0,61959228187.0,105104.0,2293099.0,2826000000.0,1.1166
ruby,laghos,1,54976000000.0,182724000000.0,60820000000.0,539384000000.0,1474000000.0,1346000000.0,22000000.0,34000000.0,0.0,8738390.0,119066000000.0,61992888106.0,105105.0,2293098.0,2760000000.0,1.1
ruby,laghos,1,72284000000.0,240142000000.0,79944000000.0,708874000000.0,1944000000.0,1770000000.0,28000000.0,48000000.0,0.0,11490692.0,156648000000.0,81437244503.0,105104.0,2320162.0,3596000000.0,1.45
ruby,laghos,1,72252000000.0,240118000000.0,79930000000.0,708840000000.0,1946000000.0,1770000000.0,28000000.0,44000000.0,0.0,11490923.0,156644000000.0,81460981154.0,105104.0,2320161.0,3696000000.0,1.4333
ruby,laghos,1,83378000000.0,277104000000.0,92236000000.0,818108000000.0,2244000000.0,2046000000.0,30000000.0,50000000.0,0.0,13262163.0,180772000000.0,93974343287.0,105104.0,2337457.0,4208000000.0,1.65
