machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,duration
ruby,sw4lite,1,338750000.0,873982142.9,129053571.4,1991053571.0,20964285.71,2125000.0,0.0,0.0,0.0,0.4375,85097093.98,14434351.7,954.8392857,19700.49107,79553571.43,0.05
ruby,sw4lite,1,367571428.6,1221375000.0,196839285.7,2717107143.0,43410714.29,6232142.857,178571.4286,17857.14286,0.0,0.482142857,154933234.9,25901012.88,953.7321429,19700.52679,130142857.1,0.0666
ruby,sw4lite,1,420446428.6,996535714.3,145250000.0,2300910714.0,20732142.86,2125000.0,0.0,0.0,0.0,4.339285714,114853548.5,37772241.53,955.9285714,19701.17857,77821428.57,0.0666
ruby,sw4lite,1,334982142.9,714446428.6,97964285.71,1652285714.0,23571428.57,2107142.857,4553571.429,232142.8571,0.0,0.4375,55457018.86,40558928.28,955.9464286,19701.1875,171107142.9,0.0833
ruby,sw4lite,1,34911500000.0,72409732143.0,9245571429.0,166324000000.0,2619000000.0,334892857.1,466178571.4,126446428.6,0.0,3.803571429,2486610345.0,1651579983.0,971.4553571,19699.36607,19859892857.0,2.6
ruby,sw4lite,1,273681000000.0,758720000000.0,107655000000.0,1668190000000.0,43201000000.0,5255803571.0,10514571429.0,2118053571.0,0.0,3.830357143,44307517133.0,25359467933.0,971.4107143,19701.03571,328072000000.0,33.0333
ruby,sw4lite,1,41140142857.0,81098125000.0,10153464286.0,187955000000.0,2635553571.0,332071428.6,489642857.1,126875000.0,0.0,351.9285714,2628856460.0,1683863500.0,7089.991071,20454.67857,19417178571.0,2.8833
ruby,sw4lite,1,242778000000.0,716786000000.0,103847000000.0,1563390000000.0,43236892857.0,5242375000.0,10534035714.0,2116946429.0,0.0,1463.321429,44557937107.0,25423542405.0,7092.651786,23001.86607,331976000000.0,32.1833
ruby,sw4lite,1,196428.5714,232142.8571,17857.14286,625000.0,0.0,0.0,0.0,0.0,0.0,4.285714286,766.1428571,576.1696429,943.8571429,19695.21429,0.0,0.0166
ruby,sw4lite,1,758821428.6,1331964286.0,157589285.7,3159982143.0,30303571.43,3392857.143,4125000.0,71428.57143,0.0,4.339285714,45465354.2,29213789.95,943.8660714,19700.78571,243535714.3,0.0833
ruby,sw4lite,1,7549339286.0,23154517857.0,3624107143.0,51649071429.0,753357142.9,112839285.7,28071428.57,24839285.71,0.0,5.830357143,2695861258.0,433337854.0,943.7767857,19701.05357,2028964286.0,0.65
ruby,sw4lite,1,4670803571.0,16366107143.0,2646125000.0,35322107143.0,1249392857.0,193071428.6,221750000.0,53982142.86,0.0,3.892857143,907212895.3,672476051.9,952.9732143,19700.14286,6262982143.0,0.7333
ruby,sw4lite,1,10628946429.0,24929928571.0,4030839286.0,56881035714.0,904339285.7,432375000.0,30285714.29,13785714.29,0.0,4.241071429,1373435423.0,295478942.6,952.0357143,19701.55357,1546482143.0,0.6833
ruby,sw4lite,1,9667464286.0,39562053571.0,6845321429.0,84382160714.0,2950321429.0,514553571.4,592678571.4,141767857.1,0.0,7.125,2254861623.0,1708059609.0,952.0446429,19700.60714,16989607143.0,1.7
ruby,sw4lite,1,10481500000.0,57771839286.0,10728517857.0,123539000000.0,2801875000.0,732357142.9,142089285.7,89910714.29,0.0,3.267857143,8786589428.0,1480495562.0,952.0267857,19700.60714,7863446429.0,1.4333
