"machine","app","exec","args","ranks","modules","spack_env","exec_path","events","path","duration","PAPI_BR_INS","PAPI_LD_INS","PAPI_SR_INS","PAPI_TOT_INS","PAPI_L1_LDM","PAPI_L1_STM","PAPI_L2_LDM","PAPI_L2_STM","EPT","FP_ARITH:SCALAR_SINGLE","FP_ARITH:SCALAR_DOUBLE","ARITH","IO Bytes Read","IO Bytes Written","PAPI_MEM_WCY","REALTIME (sec)"
"quartz","laghos","laghos","-p 1 -dim 2 -rs 1 -tf 3 ",1,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/90033d5c79a6acec7090c3a508f90b0b', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/d5aa9db2d8b2571844aa05eed2919ea7', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/2432705c8e8b5ccc833f7dbaa1d7bcdc', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/9ee79f738caaee9032f5e857ce3ac25b']",0.05,2426000000.0,3356000000.0,968000000.0,11516000000.0,32000000.0,12000000.0,0.0,0.0,0.0,1556948.0,1461157318.0,1076277724.0,37771.0,2190229.0,116000000.0,1.7655720000000001
"quartz","laghos","laghos","-p 1 -dim 2 -rs 1 -tf 3 -pa",1,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/d80585d790ac1e81597819b2429a4182', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/3d81a6039327f9244f9a696f63d2e609', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/aeeeaf7f03c166e65f2b1ae6af82d6f7', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/07722da123cb571f03f0ebd67bb7d683']",0.05,2426000000.0,3356000000.0,968000000.0,11516000000.0,32000000.0,12000000.0,0.0,0.0,0.0,1556449.0,1460442876.0,1077872352.0,37771.0,2190229.0,116000000.0,1.7715010000000002
"quartz","laghos","laghos","-p 1 -dim 2 -rs 1 -tf 3.5 ",1,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/1599e107bf3a931ee337334291e8cdfd', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/8721b29df5cfb89c046be37784ec56b6', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/f12a60e370d4be6b6cb87b010abc94a6', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/1efa72936d60d2d314aa1fecef81bb15']",0.0666,2792000000.0,3862000000.0,1114000000.0,13250000000.0,26000000.0,16000000.0,0.0,0.0,0.0,1789740.0,1680159170.0,1238203078.0,37771.0,2193037.0,140000000.0,2.025196
"quartz","laghos","laghos","-p 1 -dim 2 -rs 1 -tf 3.5 -pa",1,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/6378f46023a051719dbf2d7feb8a0962', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/3e406ede901fbc5268e240bf1df7ace1', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/b71669617de5156108966dfb6100a7d6', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/5fa889fcd71d9c0b34ec9303bfb28bf7']",0.0666,2792000000.0,3862000000.0,1108000000.0,13250000000.0,38000000.0,14000000.0,0.0,0.0,0.0,1790082.0,1681196754.0,1238368945.0,37771.0,2193037.0,136000000.0,2.0196000000000005
"quartz","laghos","laghos","-p 1 -dim 2 -rs 1 -tf 4 ",1,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/1162d7289918383cad14e5e94ae3a233', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/b18ef6903fbecdee5cc8d74f2556552c', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/45f2d8a33f121098582ae17efa332aa6', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/4580de977e1d09ab8bf5c3d097bfc0e7']",0.0666,3154000000.0,4360000000.0,1258000000.0,14964000000.0,30000000.0,16000000.0,0.0,0.0,0.0,2021762.0,1896564610.0,1396403653.0,37771.0,2195719.0,150000000.0,2.2762050000000005
"quartz","laghos","laghos","-p 1 -dim 2 -rs 1 -tf 4 -pa",1,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/ee16f8f7670cab6da09f671190b71078', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/e0d42f70d0be8e3c38b5f5275a389fe8', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/e4d14088e6c38f78b5d1fdafe8876f63', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/0d9b1e73ef78a2d333bcc09b79b9c8bf']",0.0666,3152000000.0,4358000000.0,1258000000.0,14960000000.0,30000000.0,18000000.0,0.0,0.0,0.0,2022435.0,1897379725.0,1397572057.0,37771.0,2195719.0,142000000.0,2.260415
"quartz","laghos","laghos","-p 1 -dim 2 -rs 1 -tf 4.5 ",1,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/b005d56dba6974ffc676ac8dedeb4518', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/32ffc9039c016291c8cbb3e70ea5f675', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/7cbe3db7e7b9ee2f84b65b3b498fc73d', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/656c403c308aabcebfe120b3d79d2924']",0.0666,3434000000.0,4746000000.0,1368000000.0,16294000000.0,36000000.0,18000000.0,0.0,0.0,0.0,2202499.0,2065152466.0,1520600593.0,37771.0,2197853.0,170000000.0,2.663958000000001
"quartz","laghos","laghos","-p 1 -dim 2 -rs 1 -tf 4.5 -pa",1,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/d28e59ae08999ed2a5b53de6c4c405a4', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/245c2ef3f03ecd750853029b9ad8d8be', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/bc4f764a1ddd45ffa9ac8a0776e888c4', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/0091982db9d1afcc6ed1bc5655c1bdcd']",0.0666,3434000000.0,4746000000.0,1368000000.0,16292000000.0,32000000.0,20000000.0,0.0,0.0,0.0,2202362.0,2065421903.0,1520505953.0,37771.0,2197855.0,172000000.0,2.4667090000000003
"quartz","laghos","laghos","-p 1 -dim 2 -rs 1 -tf 5 ",1,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/c3f44063849723ca0cc778e7f87509c3', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/bfd4a6526ace4318109cf0412e0b26c3', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/47590daf96df5be551bc00c71c13e875', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/b6dad5926d90b0fbfb5ebf2220c7ac8a']",0.0666,3640000000.0,5040000000.0,1452000000.0,17290000000.0,42000000.0,18000000.0,2000000.0,0.0,0.0,2337750.0,2193317921.0,1615712489.0,37771.0,2199440.0,180000000.0,2.644668
"quartz","laghos","laghos","-p 1 -dim 2 -rs 1 -tf 5 -pa",1,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/e3ae10f1e3da3d6963caa28ecb7e61b3', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/d48631336ff96a557b636d60e92bd3ac', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/77b9187ff2266a688c62bddb09143971', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/896d1e604fc532ec3b65582158c22f21']",0.0833,3644000000.0,5036000000.0,1450000000.0,17290000000.0,34000000.0,18000000.0,0.0,0.0,0.0,2338564.0,2191995118.0,1614181110.0,37771.0,2199439.0,178000000.0,2.6297780000000004
