machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,duration
quartz,laghos,1,2426000000,3356000000,968000000,11516000000,32000000,12000000,0,0,0,1556948,1461157318,1076277724,37771,2190229,116000000,0.05
quartz,laghos,1,2426000000,3356000000,968000000,11516000000,32000000,12000000,0,0,0,1556449,1460442876,1077872352,37771,2190229,116000000,0.05
quartz,laghos,1,2792000000,3862000000,1114000000,13250000000,26000000,16000000,0,0,0,1789740,1680159170,1238203078,37771,2193037,140000000,0.0666
quartz,laghos,1,2792000000,3862000000,1108000000,13250000000,38000000,14000000,0,0,0,1790082,1681196754,1238368945,37771,2193037,136000000,0.0666
quartz,laghos,1,3154000000,4360000000,1258000000,14964000000,30000000,16000000,0,0,0,2021762,1896564610,1396403653,37771,2195719,150000000,0.0666
quartz,laghos,1,3152000000,4358000000,1258000000,14960000000,30000000,18000000,0,0,0,2022435,1897379725,1397572057,37771,2195719,142000000,0.0666
quartz,laghos,1,3434000000,4746000000,1368000000,16294000000,36000000,18000000,0,0,0,2202499,2065152466,1520600593,37771,2197853,170000000,0.0666
quartz,laghos,1,3434000000,4746000000,1368000000,16292000000,32000000,20000000,0,0,0,2202362,2065421903,1520505953,37771,2197855,172000000,0.0666
quartz,laghos,1,3640000000,5040000000,1452000000,17290000000,42000000,18000000,2000000,0,0,2337750,2193317921,1615712489,37771,2199440,180000000,0.0666
quartz,laghos,1,3644000000,5036000000,1450000000,17290000000,34000000,18000000,0,0,0,2338564,2191995118,1614181110,37771,2199439,178000000,0.0833
quartz,laghos,1,3788000000,5244000000,1512000000,17994000000,50000000,20000000,0,0,0,2430175,2282039382,1680659639,37771,2200601,186000000,0.0666
quartz,laghos,1,3792000000,5244000000,1514000000,17998000000,44000000,20000000,2000000,0,0,2431784,2282041862,1681138751,37771,2200600,186000000,0.0666
quartz,laghos,1,8200000000,19434000000,6256000000,59954000000,202000000,160000000,6000000,4000000,0,3259234,11407387387,8376314544,37771,2205834,912000000,0.1833
