Apps,relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,7111111,46305556,11166667,98944450,1722222.2,1666666.6,83333.336,83333.336,6.25,26038076,26638960,525.05554,30141.916,11777778,1,0.061038718,0.6844559,-0.20461445,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.059134133,-0.39863706,51.44212,0.049745336,0.19684218,0.099592626,0.046641767,0.060473915,0.20197737,0.18522142,0.19058624,0.12404709,0.14105263,0.07514291,4.02079,0.008444299,0.002846686,0.005564633,0.02140025,0.5882219,0.11138788,0.16876057,0.014720948,0.16946669,0.53333896,0.133327,0.3225975,0.54534954,0.02129123,0.21634832,1.3710774,1.8563243,0.05007135,0.041943975,0.11719659,0.94747376,1.145947,0.015748678,0.010321964,0.12105714,0.26904583,0.39386487,0.038374916,0.1324255,0.14959368,0.13384295,0.15705737,0.13241501,0.021890221,0.10036509,0.07875134,0.4596962,0.05047041,0.07121615,0.07426255,0.13229738,0.13326001,0.017484022,0.29505002,0.24357411,0.14137845,0.015146988,1.6518741,1.921417,0.003049214,0.007616173,0.009949883,0.75332224,0.38902888,-1.2322869,-0.059198663,-0.45707357,-0.1437863,-1.1842115,-0.14435151,0.47525632,-1.087044,89.0311,0.018963993,0.10171607,0.022375697,0.017387062,0.024649672,0.0611502,0.06656928,0.0666388,0.053006962,0.04262576,0.029648704,4.719409,0.002689164,0.004807239,0.005943939,0.004441924,0.2024478,0.041811213,0.07402697,0.012413392,0.074116096,0.36137447,0.055881716,0.09335887,0.22215468,0.020345025,0.079674885,0.6016907,0.8418725,0.01772911,0.024731517,0.053951442,0.41966766,0.555717,0.010835178,0.007725531,0.05239013,0.12247701,0.17160352,0.01716667,0.05536659,0.063414745,0.07813394,0.06489621,0.055372134,0.007367316,0.03372916,0.024320025,0.15291798,0.022878781,0.1258609,0.24452208,0.033116236,0.03485536,0.006701243,0.13740516,0.08480111,0.04491666,0.007072419,1.4873519,1.5183358,0.001920224,0.002851469,0.004275455
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,12416667,73916664,17916666,165555550,1750000,2388889,83333.336,83333.336,9.152778,38292890,26702312,525.05554,30141.916,11916667,0.7507508,0.061038718,0.6844559,-0.20461445,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.059134133,-0.39863706,51.44212,0.049745336,0.19684218,0.099592626,0.046641767,0.060473915,0.20197737,0.18522142,0.19058624,0.12404709,0.14105263,0.07514291,4.02079,0.008444299,0.002846686,0.005564633,0.02140025,0.5882219,0.11138788,0.16876057,0.014720948,0.16946669,0.53333896,0.133327,0.3225975,0.54534954,0.02129123,0.21634832,1.3710774,1.8563243,0.05007135,0.041943975,0.11719659,0.94747376,1.145947,0.015748678,0.010321964,0.12105714,0.26904583,0.39386487,0.038374916,0.1324255,0.14959368,0.13384295,0.15705737,0.13241501,0.021890221,0.10036509,0.07875134,0.4596962,0.05047041,0.07121615,0.07426255,0.13229738,0.13326001,0.017484022,0.29505002,0.24357411,0.14137845,0.015146988,1.6518741,1.921417,0.003049214,0.007616173,0.009949883,0.75332224,0.38902888,-1.2322869,-0.059198663,-0.45707357,-0.1437863,-1.1842115,-0.14435151,0.47525632,-1.087044,89.0311,0.018963993,0.10171607,0.022375697,0.017387062,0.024649672,0.0611502,0.06656928,0.0666388,0.053006962,0.04262576,0.029648704,4.719409,0.002689164,0.004807239,0.005943939,0.004441924,0.2024478,0.041811213,0.07402697,0.012413392,0.074116096,0.36137447,0.055881716,0.09335887,0.22215468,0.020345025,0.079674885,0.6016907,0.8418725,0.01772911,0.024731517,0.053951442,0.41966766,0.555717,0.010835178,0.007725531,0.05239013,0.12247701,0.17160352,0.01716667,0.05536659,0.063414745,0.07813394,0.06489621,0.055372134,0.007367316,0.03372916,0.024320025,0.15291798,0.022878781,0.1258609,0.24452208,0.033116236,0.03485536,0.006701243,0.13740516,0.08480111,0.04491666,0.007072419,1.4873519,1.5183358,0.001920224,0.002851469,0.004275455
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,21527778,120250000,29166666,277444450,2472222.2,3583333.2,138888.89,111111.11,22,58800010,26588580,525.05554,30141.916,11750000,0.79951984,0.061038718,0.6844559,-0.20461445,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.059134133,-0.39863706,51.44212,0.049745336,0.19684218,0.099592626,0.046641767,0.060473915,0.20197737,0.18522142,0.19058624,0.12404709,0.14105263,0.07514291,4.02079,0.008444299,0.002846686,0.005564633,0.02140025,0.5882219,0.11138788,0.16876057,0.014720948,0.16946669,0.53333896,0.133327,0.3225975,0.54534954,0.02129123,0.21634832,1.3710774,1.8563243,0.05007135,0.041943975,0.11719659,0.94747376,1.145947,0.015748678,0.010321964,0.12105714,0.26904583,0.39386487,0.038374916,0.1324255,0.14959368,0.13384295,0.15705737,0.13241501,0.021890221,0.10036509,0.07875134,0.4596962,0.05047041,0.07121615,0.07426255,0.13229738,0.13326001,0.017484022,0.29505002,0.24357411,0.14137845,0.015146988,1.6518741,1.921417,0.003049214,0.007616173,0.009949883,0.75332224,0.38902888,-1.2322869,-0.059198663,-0.45707357,-0.1437863,-1.1842115,-0.14435151,0.47525632,-1.087044,89.0311,0.018963993,0.10171607,0.022375697,0.017387062,0.024649672,0.0611502,0.06656928,0.0666388,0.053006962,0.04262576,0.029648704,4.719409,0.002689164,0.004807239,0.005943939,0.004441924,0.2024478,0.041811213,0.07402697,0.012413392,0.074116096,0.36137447,0.055881716,0.09335887,0.22215468,0.020345025,0.079674885,0.6016907,0.8418725,0.01772911,0.024731517,0.053951442,0.41966766,0.555717,0.010835178,0.007725531,0.05239013,0.12247701,0.17160352,0.01716667,0.05536659,0.063414745,0.07813394,0.06489621,0.055372134,0.007367316,0.03372916,0.024320025,0.15291798,0.022878781,0.1258609,0.24452208,0.033116236,0.03485536,0.006701243,0.13740516,0.08480111,0.04491666,0.007072419,1.4873519,1.5183358,0.001920224,0.002851469,0.004275455
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,34333332,185222220,44916668,434333340,2833333.2,5250000,138888.89,111111.11,19,87480030,26651084,525.05554,30141.916,12694444,0.7144082,0.061038718,0.6844559,-0.20461445,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.059134133,-0.39863706,51.44212,0.049745336,0.19684218,0.099592626,0.046641767,0.060473915,0.20197737,0.18522142,0.19058624,0.12404709,0.14105263,0.07514291,4.02079,0.008444299,0.002846686,0.005564633,0.02140025,0.5882219,0.11138788,0.16876057,0.014720948,0.16946669,0.53333896,0.133327,0.3225975,0.54534954,0.02129123,0.21634832,1.3710774,1.8563243,0.05007135,0.041943975,0.11719659,0.94747376,1.145947,0.015748678,0.010321964,0.12105714,0.26904583,0.39386487,0.038374916,0.1324255,0.14959368,0.13384295,0.15705737,0.13241501,0.021890221,0.10036509,0.07875134,0.4596962,0.05047041,0.07121615,0.07426255,0.13229738,0.13326001,0.017484022,0.29505002,0.24357411,0.14137845,0.015146988,1.6518741,1.921417,0.003049214,0.007616173,0.009949883,0.75332224,0.38902888,-1.2322869,-0.059198663,-0.45707357,-0.1437863,-1.1842115,-0.14435151,0.47525632,-1.087044,89.0311,0.018963993,0.10171607,0.022375697,0.017387062,0.024649672,0.0611502,0.06656928,0.0666388,0.053006962,0.04262576,0.029648704,4.719409,0.002689164,0.004807239,0.005943939,0.004441924,0.2024478,0.041811213,0.07402697,0.012413392,0.074116096,0.36137447,0.055881716,0.09335887,0.22215468,0.020345025,0.079674885,0.6016907,0.8418725,0.01772911,0.024731517,0.053951442,0.41966766,0.555717,0.010835178,0.007725531,0.05239013,0.12247701,0.17160352,0.01716667,0.05536659,0.063414745,0.07813394,0.06489621,0.055372134,0.007367316,0.03372916,0.024320025,0.15291798,0.022878781,0.1258609,0.24452208,0.033116236,0.03485536,0.006701243,0.13740516,0.08480111,0.04491666,0.007072419,1.4873519,1.5183358,0.001920224,0.002851469,0.004275455
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,50722224,268611100,65166668,635722240,3055555.5,7444444.5,166666.67,111111.11,5.0555553,124326590,26606524,525.05554,30141.916,12750000,0.7501876,0.061038718,0.6844559,-0.20461445,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.059134133,-0.39863706,51.44212,0.049745336,0.19684218,0.099592626,0.046641767,0.060473915,0.20197737,0.18522142,0.19058624,0.12404709,0.14105263,0.07514291,4.02079,0.008444299,0.002846686,0.005564633,0.02140025,0.5882219,0.11138788,0.16876057,0.014720948,0.16946669,0.53333896,0.133327,0.3225975,0.54534954,0.02129123,0.21634832,1.3710774,1.8563243,0.05007135,0.041943975,0.11719659,0.94747376,1.145947,0.015748678,0.010321964,0.12105714,0.26904583,0.39386487,0.038374916,0.1324255,0.14959368,0.13384295,0.15705737,0.13241501,0.021890221,0.10036509,0.07875134,0.4596962,0.05047041,0.07121615,0.07426255,0.13229738,0.13326001,0.017484022,0.29505002,0.24357411,0.14137845,0.015146988,1.6518741,1.921417,0.003049214,0.007616173,0.009949883,0.75332224,0.38902888,-1.2322869,-0.059198663,-0.45707357,-0.1437863,-1.1842115,-0.14435151,0.47525632,-1.087044,89.0311,0.018963993,0.10171607,0.022375697,0.017387062,0.024649672,0.0611502,0.06656928,0.0666388,0.053006962,0.04262576,0.029648704,4.719409,0.002689164,0.004807239,0.005943939,0.004441924,0.2024478,0.041811213,0.07402697,0.012413392,0.074116096,0.36137447,0.055881716,0.09335887,0.22215468,0.020345025,0.079674885,0.6016907,0.8418725,0.01772911,0.024731517,0.053951442,0.41966766,0.555717,0.010835178,0.007725531,0.05239013,0.12247701,0.17160352,0.01716667,0.05536659,0.063414745,0.07813394,0.06489621,0.055372134,0.007367316,0.03372916,0.024320025,0.15291798,0.022878781,0.1258609,0.24452208,0.033116236,0.03485536,0.006701243,0.13740516,0.08480111,0.04491666,0.007072419,1.4873519,1.5183358,0.001920224,0.002851469,0.004275455
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,15583333,99138890,23166666,211944450,3472222.2,3388889,166666.67,194444.44,11.291667,53147028,53375364,525.05554,30141.916,23694444,0.666,0.061038718,0.6844559,-0.20461445,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.059134133,-0.39863706,51.44212,0.049745336,0.19684218,0.099592626,0.046641767,0.060473915,0.20197737,0.18522142,0.19058624,0.12404709,0.14105263,0.07514291,4.02079,0.008444299,0.002846686,0.005564633,0.02140025,0.5882219,0.11138788,0.16876057,0.014720948,0.16946669,0.53333896,0.133327,0.3225975,0.54534954,0.02129123,0.21634832,1.3710774,1.8563243,0.05007135,0.041943975,0.11719659,0.94747376,1.145947,0.015748678,0.010321964,0.12105714,0.26904583,0.39386487,0.038374916,0.1324255,0.14959368,0.13384295,0.15705737,0.13241501,0.021890221,0.10036509,0.07875134,0.4596962,0.05047041,0.07121615,0.07426255,0.13229738,0.13326001,0.017484022,0.29505002,0.24357411,0.14137845,0.015146988,1.6518741,1.921417,0.003049214,0.007616173,0.009949883,0.75332224,0.38902888,-1.2322869,-0.059198663,-0.45707357,-0.1437863,-1.1842115,-0.14435151,0.47525632,-1.087044,89.0311,0.018963993,0.10171607,0.022375697,0.017387062,0.024649672,0.0611502,0.06656928,0.0666388,0.053006962,0.04262576,0.029648704,4.719409,0.002689164,0.004807239,0.005943939,0.004441924,0.2024478,0.041811213,0.07402697,0.012413392,0.074116096,0.36137447,0.055881716,0.09335887,0.22215468,0.020345025,0.079674885,0.6016907,0.8418725,0.01772911,0.024731517,0.053951442,0.41966766,0.555717,0.010835178,0.007725531,0.05239013,0.12247701,0.17160352,0.01716667,0.05536659,0.063414745,0.07813394,0.06489621,0.055372134,0.007367316,0.03372916,0.024320025,0.15291798,0.022878781,0.1258609,0.24452208,0.033116236,0.03485536,0.006701243,0.13740516,0.08480111,0.04491666,0.007072419,1.4873519,1.5183358,0.001920224,0.002851469,0.004275455
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,31833334,175833330,39388890,392861120,3527777.8,4972222,166666.67,222222.22,15.027778,81357430,53461720,525.05554,30141.916,23305556,0.7144082,0.061038718,0.6844559,-0.20461445,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.059134133,-0.39863706,51.44212,0.049745336,0.19684218,0.099592626,0.046641767,0.060473915,0.20197737,0.18522142,0.19058624,0.12404709,0.14105263,0.07514291,4.02079,0.008444299,0.002846686,0.005564633,0.02140025,0.5882219,0.11138788,0.16876057,0.014720948,0.16946669,0.53333896,0.133327,0.3225975,0.54534954,0.02129123,0.21634832,1.3710774,1.8563243,0.05007135,0.041943975,0.11719659,0.94747376,1.145947,0.015748678,0.010321964,0.12105714,0.26904583,0.39386487,0.038374916,0.1324255,0.14959368,0.13384295,0.15705737,0.13241501,0.021890221,0.10036509,0.07875134,0.4596962,0.05047041,0.07121615,0.07426255,0.13229738,0.13326001,0.017484022,0.29505002,0.24357411,0.14137845,0.015146988,1.6518741,1.921417,0.003049214,0.007616173,0.009949883,0.75332224,0.38902888,-1.2322869,-0.059198663,-0.45707357,-0.1437863,-1.1842115,-0.14435151,0.47525632,-1.087044,89.0311,0.018963993,0.10171607,0.022375697,0.017387062,0.024649672,0.0611502,0.06656928,0.0666388,0.053006962,0.04262576,0.029648704,4.719409,0.002689164,0.004807239,0.005943939,0.004441924,0.2024478,0.041811213,0.07402697,0.012413392,0.074116096,0.36137447,0.055881716,0.09335887,0.22215468,0.020345025,0.079674885,0.6016907,0.8418725,0.01772911,0.024731517,0.053951442,0.41966766,0.555717,0.010835178,0.007725531,0.05239013,0.12247701,0.17160352,0.01716667,0.05536659,0.063414745,0.07813394,0.06489621,0.055372134,0.007367316,0.03372916,0.024320025,0.15291798,0.022878781,0.1258609,0.24452208,0.033116236,0.03485536,0.006701243,0.13740516,0.08480111,0.04491666,0.007072419,1.4873519,1.5183358,0.001920224,0.002851469,0.004275455
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,59111110,303944450,66388890,695000000,4527778,7555555.5,250000,222222.22,9.555555,128256376,53200544,525.05554,30141.916,24777778,0.6361157,0.061038718,0.6844559,-0.20461445,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.059134133,-0.39863706,51.44212,0.049745336,0.19684218,0.099592626,0.046641767,0.060473915,0.20197737,0.18522142,0.19058624,0.12404709,0.14105263,0.07514291,4.02079,0.008444299,0.002846686,0.005564633,0.02140025,0.5882219,0.11138788,0.16876057,0.014720948,0.16946669,0.53333896,0.133327,0.3225975,0.54534954,0.02129123,0.21634832,1.3710774,1.8563243,0.05007135,0.041943975,0.11719659,0.94747376,1.145947,0.015748678,0.010321964,0.12105714,0.26904583,0.39386487,0.038374916,0.1324255,0.14959368,0.13384295,0.15705737,0.13241501,0.021890221,0.10036509,0.07875134,0.4596962,0.05047041,0.07121615,0.07426255,0.13229738,0.13326001,0.017484022,0.29505002,0.24357411,0.14137845,0.015146988,1.6518741,1.921417,0.003049214,0.007616173,0.009949883,0.75332224,0.38902888,-1.2322869,-0.059198663,-0.45707357,-0.1437863,-1.1842115,-0.14435151,0.47525632,-1.087044,89.0311,0.018963993,0.10171607,0.022375697,0.017387062,0.024649672,0.0611502,0.06656928,0.0666388,0.053006962,0.04262576,0.029648704,4.719409,0.002689164,0.004807239,0.005943939,0.004441924,0.2024478,0.041811213,0.07402697,0.012413392,0.074116096,0.36137447,0.055881716,0.09335887,0.22215468,0.020345025,0.079674885,0.6016907,0.8418725,0.01772911,0.024731517,0.053951442,0.41966766,0.555717,0.010835178,0.007725531,0.05239013,0.12247701,0.17160352,0.01716667,0.05536659,0.063414745,0.07813394,0.06489621,0.055372134,0.007367316,0.03372916,0.024320025,0.15291798,0.022878781,0.1258609,0.24452208,0.033116236,0.03485536,0.006701243,0.13740516,0.08480111,0.04491666,0.007072419,1.4873519,1.5183358,0.001920224,0.002851469,0.004275455
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,97388890,483472220,104250000,1118444400,5222222,11111111,250000,222222.22,12.222222,194015100,53270868,525.05554,30141.916,26027778,0.75,0.061038718,0.6844559,-0.20461445,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.059134133,-0.39863706,51.44212,0.049745336,0.19684218,0.099592626,0.046641767,0.060473915,0.20197737,0.18522142,0.19058624,0.12404709,0.14105263,0.07514291,4.02079,0.008444299,0.002846686,0.005564633,0.02140025,0.5882219,0.11138788,0.16876057,0.014720948,0.16946669,0.53333896,0.133327,0.3225975,0.54534954,0.02129123,0.21634832,1.3710774,1.8563243,0.05007135,0.041943975,0.11719659,0.94747376,1.145947,0.015748678,0.010321964,0.12105714,0.26904583,0.39386487,0.038374916,0.1324255,0.14959368,0.13384295,0.15705737,0.13241501,0.021890221,0.10036509,0.07875134,0.4596962,0.05047041,0.07121615,0.07426255,0.13229738,0.13326001,0.017484022,0.29505002,0.24357411,0.14137845,0.015146988,1.6518741,1.921417,0.003049214,0.007616173,0.009949883,0.75332224,0.38902888,-1.2322869,-0.059198663,-0.45707357,-0.1437863,-1.1842115,-0.14435151,0.47525632,-1.087044,89.0311,0.018963993,0.10171607,0.022375697,0.017387062,0.024649672,0.0611502,0.06656928,0.0666388,0.053006962,0.04262576,0.029648704,4.719409,0.002689164,0.004807239,0.005943939,0.004441924,0.2024478,0.041811213,0.07402697,0.012413392,0.074116096,0.36137447,0.055881716,0.09335887,0.22215468,0.020345025,0.079674885,0.6016907,0.8418725,0.01772911,0.024731517,0.053951442,0.41966766,0.555717,0.010835178,0.007725531,0.05239013,0.12247701,0.17160352,0.01716667,0.05536659,0.063414745,0.07813394,0.06489621,0.055372134,0.007367316,0.03372916,0.024320025,0.15291798,0.022878781,0.1258609,0.24452208,0.033116236,0.03485536,0.006701243,0.13740516,0.08480111,0.04491666,0.007072419,1.4873519,1.5183358,0.001920224,0.002851469,0.004275455
kripke,q-r,-2.5439012,0.34314197,0.58949256,-0.07358553,-0.22352712,0.48150262,2.1639035,-1.0343667,0.19478746,-0.46044812,-0.012731321,0.047679175,0.4502507,0.6394942,1.8763903,1,146222220,713750000,152805550,1661611100,6750000,15805556,361111.12,222222.22,8.527778,278577000,53176580,525.05554,30141.916,26277778,0.7645605,0.061038718,0.6844559,-0.20461445,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.059134133,-0.39863706,51.44212,0.049745336,0.19684218,0.099592626,0.046641767,0.060473915,0.20197737,0.18522142,0.19058624,0.12404709,0.14105263,0.07514291,4.02079,0.008444299,0.002846686,0.005564633,0.02140025,0.5882219,0.11138788,0.16876057,0.014720948,0.16946669,0.53333896,0.133327,0.3225975,0.54534954,0.02129123,0.21634832,1.3710774,1.8563243,0.05007135,0.041943975,0.11719659,0.94747376,1.145947,0.015748678,0.010321964,0.12105714,0.26904583,0.39386487,0.038374916,0.1324255,0.14959368,0.13384295,0.15705737,0.13241501,0.021890221,0.10036509,0.07875134,0.4596962,0.05047041,0.07121615,0.07426255,0.13229738,0.13326001,0.017484022,0.29505002,0.24357411,0.14137845,0.015146988,1.6518741,1.921417,0.003049214,0.007616173,0.009949883,0.75332224,0.38902888,-1.2322869,-0.059198663,-0.45707357,-0.1437863,-1.1842115,-0.14435151,0.47525632,-1.087044,89.0311,0.018963993,0.10171607,0.022375697,0.017387062,0.024649672,0.0611502,0.06656928,0.0666388,0.053006962,0.04262576,0.029648704,4.719409,0.002689164,0.004807239,0.005943939,0.004441924,0.2024478,0.041811213,0.07402697,0.012413392,0.074116096,0.36137447,0.055881716,0.09335887,0.22215468,0.020345025,0.079674885,0.6016907,0.8418725,0.01772911,0.024731517,0.053951442,0.41966766,0.555717,0.010835178,0.007725531,0.05239013,0.12247701,0.17160352,0.01716667,0.05536659,0.063414745,0.07813394,0.06489621,0.055372134,0.007367316,0.03372916,0.024320025,0.15291798,0.022878781,0.1258609,0.24452208,0.033116236,0.03485536,0.006701243,0.13740516,0.08480111,0.04491666,0.007072419,1.4873519,1.5183358,0.001920224,0.002851469,0.004275455
